episode,iteration,epReward,memory,time
0.00000,0.00000,-2.56429,12016.00000,-6.15442
1.00000,0.00000,-0.87463,3168.00000,-7.05005
0.00000,1.00000,-1.51086,11872.00000,-6.31835
1.00000,1.00000,-1.56322,3240.00000,-7.10050
0.00000,2.00000,-2.65840,12128.00000,-6.36879
1.00000,2.00000,-1.29445,3896.00000,-7.08672
0.00000,3.00000,-1.47705,12576.00000,-6.35800
1.00000,3.00000,-1.46974,3984.00000,-7.10688
0.00000,4.00000,-0.87319,12576.00000,-6.35814
1.00000,4.00000,-1.43107,4080.00000,-7.10572
0.00000,5.00000,-1.67667,12576.00000,-6.09167
1.00000,5.00000,-1.10308,4192.00000,-6.85783
0.00000,6.00000,-1.37960,12648.00000,-6.22114
1.00000,6.00000,-1.36343,3760.00000,-7.10572
0.00000,7.00000,-2.04993,13352.00000,-6.35361
1.00000,7.00000,-1.40504,3928.00000,-7.01999
0.00000,8.00000,-1.91754,13656.00000,-6.38111
1.00000,8.00000,-1.31690,5280.00000,-7.10079
0.00000,9.00000,-1.37946,13656.00000,-6.31941
1.00000,9.00000,-0.49186,4432.00000,-7.11565
0.00000,10.00000,-1.23615,13656.00000,-6.14104
1.00000,10.00000,-1.18809,5440.00000,-7.04129
0.00000,11.00000,-1.52472,13656.00000,-6.18104
1.00000,11.00000,-1.39332,4432.00000,-7.04457
0.00000,12.00000,-0.42015,13656.00000,-6.35457
1.00000,12.00000,-0.71290,5616.00000,-7.04238
0.00000,13.00000,-1.75138,13656.00000,-6.36090
1.00000,13.00000,-0.67886,4432.00000,-7.09560
0.00000,14.00000,-1.53993,13656.00000,-6.33099
1.00000,14.00000,-0.73457,5816.00000,-7.11418
0.00000,15.00000,-1.17655,13656.00000,-6.38237
1.00000,15.00000,-1.23634,4432.00000,-6.86079
0.00000,16.00000,-1.81111,13656.00000,-6.20566
1.00000,16.00000,-0.79564,4432.00000,-6.96726
0.00000,17.00000,-1.71206,15264.00000,-6.31980
1.00000,17.00000,-1.49537,4432.00000,-7.03613
0.00000,18.00000,-1.45072,13656.00000,-6.32139
1.00000,18.00000,-0.91169,4432.00000,-7.09072
0.00000,19.00000,-1.26021,13656.00000,-6.33032
1.00000,19.00000,-1.09877,4432.00000,-7.09906
0.00000,20.00000,-1.51893,15520.00000,-6.20874
1.00000,20.00000,-1.34481,4432.00000,-6.56315
0.00000,21.00000,-1.23837,13656.00000,-6.19590
1.00000,21.00000,-0.79953,4432.00000,-6.97871
0.00000,22.00000,-1.81404,13656.00000,-6.34230
1.00000,22.00000,-1.02086,4432.00000,-6.98410
0.00000,23.00000,-1.10044,15808.00000,-6.35333
1.00000,23.00000,-0.99538,4432.00000,-7.09503
0.00000,24.00000,-2.25976,13656.00000,-6.32259
1.00000,24.00000,-1.38268,4432.00000,-7.09273
0.00000,25.00000,-1.97872,13656.00000,-6.32658
1.00000,25.00000,-0.94327,4432.00000,-7.09790
0.00000,26.00000,-1.48206,13656.00000,-6.15599
1.00000,26.00000,-0.74623,6904.00000,-6.87939
0.00000,27.00000,-1.99631,13656.00000,-6.28097
1.00000,27.00000,-1.63387,4432.00000,-7.08729
0.00000,28.00000,-1.29707,13656.00000,-6.32153
1.00000,28.00000,-1.44934,4432.00000,-7.09589
0.00000,29.00000,-1.71691,13656.00000,-6.34203
1.00000,29.00000,-1.41249,4432.00000,-7.10776
0.00000,30.00000,-1.80910,13656.00000,-6.35855
1.00000,30.00000,-0.88523,7264.00000,-7.03857
0.00000,31.00000,-2.12006,13656.00000,-6.26530
1.00000,31.00000,-1.38350,4432.00000,-6.97641
0.00000,32.00000,-1.25273,13656.00000,-6.19895
1.00000,32.00000,-1.01600,4432.00000,-7.06836
0.00000,33.00000,-1.54295,13656.00000,-6.29083
1.00000,33.00000,-1.33467,4432.00000,-7.09560
0.00000,34.00000,-1.56560,13656.00000,-6.33555
1.00000,34.00000,-0.76550,4432.00000,-7.09015
0.00000,35.00000,-1.78754,16896.00000,-6.35704
1.00000,35.00000,-1.51120,4432.00000,-7.05418
0.00000,36.00000,-2.18755,13656.00000,-6.35690
1.00000,36.00000,-1.09376,4432.00000,-6.73565
0.00000,37.00000,-1.73390,13656.00000,-6.25942
1.00000,37.00000,-1.24843,4432.00000,-6.92369
0.00000,38.00000,-2.09763,13656.00000,-6.31084
1.00000,38.00000,-0.75668,4432.00000,-7.07482
0.00000,39.00000,-1.54171,13656.00000,-6.38195
1.00000,39.00000,-1.33326,4432.00000,-7.08387
0.00000,40.00000,-2.39133,13656.00000,-6.36394
1.00000,40.00000,-0.73005,8128.00000,-7.08189
0.00000,41.00000,-1.85531,13656.00000,-6.35635
1.00000,41.00000,-0.90616,4432.00000,-7.09704
0.00000,42.00000,-2.94670,13656.00000,-6.17357
1.00000,42.00000,-1.17499,4432.00000,-6.96045
0.00000,43.00000,-2.31927,13656.00000,-6.20118
1.00000,43.00000,-1.25059,4432.00000,-7.07849
0.00000,44.00000,-1.90161,13656.00000,-6.34855
1.00000,44.00000,-0.69126,4432.00000,-7.03830
0.00000,45.00000,-1.96897,13656.00000,-6.35553
1.00000,45.00000,-0.88754,4432.00000,-7.09993
0.00000,46.00000,-2.49945,17864.00000,-6.31637
1.00000,46.00000,-1.28524,4432.00000,-7.12331
0.00000,47.00000,-1.05792,13656.00000,-6.30052
1.00000,47.00000,-1.01435,4432.00000,-7.04429
0.00000,48.00000,-0.80196,13656.00000,-6.23443
1.00000,48.00000,-0.99727,4432.00000,-7.06138
0.00000,49.00000,-1.55603,13656.00000,-6.32445
1.00000,49.00000,-1.11141,4432.00000,-7.07228
