episode,iteration,epReward,memory,time
0.00000,0.00000,-2.56429,11968.00000,-6.31888
1.00000,0.00000,-0.87463,3168.00000,-7.13193
2.00000,0.00000,-1.33698,3072.00000,-7.08843
3.00000,0.00000,-1.53007,7200.00000,-6.68459
4.00000,0.00000,-1.53971,6168.00000,-6.81499
5.00000,0.00000,-1.17146,6352.00000,-6.77183
6.00000,0.00000,-0.95777,6456.00000,-6.77162
7.00000,0.00000,-1.30178,4208.00000,-6.99653
8.00000,0.00000,-0.76132,3816.00000,-7.02910
9.00000,0.00000,-1.65814,4304.00000,-7.00885
10.00000,0.00000,-1.87999,3792.00000,-7.03613
11.00000,0.00000,-1.52063,7104.00000,-6.77809
12.00000,0.00000,-0.68751,3792.00000,-7.00780
13.00000,0.00000,-1.11692,3792.00000,-6.97233
14.00000,0.00000,-0.54912,4496.00000,-7.01070
15.00000,0.00000,-1.42619,3960.00000,-7.05972
16.00000,0.00000,-0.65812,4608.00000,-6.97056
17.00000,0.00000,-1.06843,5456.00000,-6.95070
18.00000,0.00000,-1.16624,7632.00000,-6.78334
19.00000,0.00000,-0.95859,6816.00000,-6.76892
20.00000,0.00000,-1.21306,4632.00000,-6.99004
21.00000,0.00000,-0.85724,5616.00000,-6.95145
22.00000,0.00000,-1.33718,4656.00000,-7.01176
23.00000,0.00000,-1.28032,4608.00000,-6.98462
24.00000,0.00000,-1.16339,7776.00000,-6.73766
25.00000,0.00000,-1.04520,5816.00000,-6.95744
26.00000,0.00000,-1.11805,7728.00000,-6.71067
27.00000,0.00000,-0.84674,4432.00000,-6.89598
28.00000,0.00000,-1.12380,7864.00000,-6.66457
29.00000,0.00000,-0.71083,9080.00000,-6.73285
30.00000,0.00000,-1.24741,4632.00000,-6.91597
31.00000,0.00000,-1.53772,4632.00000,-6.89621
32.00000,0.00000,-1.20548,7752.00000,-6.67095
33.00000,0.00000,-1.24363,4632.00000,-6.91333
34.00000,0.00000,-1.31117,6264.00000,-6.87776
35.00000,0.00000,-1.48323,4632.00000,-6.93784
36.00000,0.00000,-1.03895,8296.00000,-6.66401
37.00000,0.00000,-1.14219,4432.00000,-6.90046
38.00000,0.00000,-1.77226,4608.00000,-6.89834
39.00000,0.00000,-1.55122,8368.00000,-6.60894
40.00000,0.00000,-1.23823,13208.00000,-6.49792
41.00000,0.00000,-1.57615,4632.00000,-6.91093
42.00000,0.00000,-1.55334,4632.00000,-6.91141
43.00000,0.00000,-0.82066,4632.00000,-6.89574
44.00000,0.00000,-1.30762,4608.00000,-6.86124
45.00000,0.00000,-1.49224,4632.00000,-6.81543
46.00000,0.00000,-1.26863,6784.00000,-6.86307
47.00000,0.00000,-1.02734,4632.00000,-6.89245
48.00000,0.00000,-0.66008,4632.00000,-6.86443
49.00000,0.00000,-1.48600,4656.00000,-6.89975
50.00000,0.00000,-1.01563,4608.00000,-6.88426
51.00000,0.00000,-1.04350,4656.00000,-6.92200
52.00000,0.00000,-1.29379,4632.00000,-6.82000
53.00000,0.00000,-1.13441,7080.00000,-6.89527
54.00000,0.00000,-1.15003,4608.00000,-6.91165
55.00000,0.00000,-1.66216,4608.00000,-6.92442
56.00000,0.00000,-1.63912,7640.00000,-6.71479
57.00000,0.00000,-1.38182,4656.00000,-6.89081
58.00000,0.00000,-1.17598,4608.00000,-6.89339
59.00000,0.00000,-1.70465,8475.00000,-6.71322
60.00000,0.00000,-1.31256,4632.00000,-6.86329
61.00000,0.00000,-1.37597,7464.00000,-6.89952
62.00000,0.00000,-0.99717,4632.00000,-6.91453
63.00000,0.00000,-1.42578,4632.00000,-6.91837
64.00000,0.00000,-0.64514,4632.00000,-6.88987
65.00000,0.00000,-0.97130,4632.00000,-6.90711
66.00000,0.00000,-1.66626,4608.00000,-6.91117
67.00000,0.00000,-1.38718,7240.00000,-6.67434
68.00000,0.00000,-1.57860,4656.00000,-6.83874
69.00000,0.00000,-1.13600,4608.00000,-6.87939
70.00000,0.00000,-1.03490,7872.00000,-6.86193
71.00000,0.00000,-1.31487,4656.00000,-6.89128
72.00000,0.00000,-1.43190,4632.00000,-6.89645
73.00000,0.00000,-0.95179,4608.00000,-6.87846
74.00000,0.00000,-1.33860,4608.00000,-6.89574
75.00000,0.00000,-1.37505,4632.00000,-6.89834
76.00000,0.00000,-1.61109,4656.00000,-6.89151
77.00000,0.00000,-1.19334,4608.00000,-6.89975
78.00000,0.00000,-1.20906,4608.00000,-6.88078
79.00000,0.00000,-1.32182,4608.00000,-6.83010
80.00000,0.00000,-1.54674,4608.00000,-6.90974
81.00000,0.00000,-1.06269,8304.00000,-6.84656
82.00000,0.00000,-1.52729,4632.00000,-6.87915
83.00000,0.00000,-1.42744,4632.00000,-6.85783
84.00000,0.00000,-1.90334,4656.00000,-6.92030
85.00000,0.00000,-1.28930,4632.00000,-6.84903
86.00000,0.00000,-0.91989,4608.00000,-6.82988
87.00000,0.00000,-0.90850,4608.00000,-6.86535
88.00000,0.00000,-1.51128,4608.00000,-6.90355
89.00000,0.00000,-0.83554,4608.00000,-6.84970
90.00000,0.00000,-0.74304,4608.00000,-6.87430
91.00000,0.00000,-0.82687,4608.00000,-6.88636
92.00000,0.00000,-0.92607,8840.00000,-6.89198
93.00000,0.00000,-1.32543,4608.00000,-6.88008
94.00000,0.00000,-0.85299,4608.00000,-6.84454
95.00000,0.00000,-1.30146,7984.00000,-6.63129
96.00000,0.00000,-1.42444,4632.00000,-6.83896
