episode,iteration,epReward,memory,time
0.00000,0.00000,-2.56429,9552.00000,-7.02373
1.00000,0.00000,-0.87463,3200.00000,-7.08075
0.00000,1.00000,-1.51086,9472.00000,-7.09935
1.00000,1.00000,-1.56322,3272.00000,-7.01335
0.00000,2.00000,-2.65840,9536.00000,-7.07313
1.00000,2.00000,-1.29445,4056.00000,-7.08958
0.00000,3.00000,-1.47705,9984.00000,-6.84723
1.00000,3.00000,-1.46974,4144.00000,-7.00228
0.00000,4.00000,-0.87319,9984.00000,-6.64422
1.00000,4.00000,-1.43107,4240.00000,-6.99263
0.00000,5.00000,-1.67667,9984.00000,-6.81804
1.00000,5.00000,-1.10308,4352.00000,-7.03667
0.00000,6.00000,-1.37960,9984.00000,-7.06055
1.00000,6.00000,-1.36343,3776.00000,-7.05833
0.00000,7.00000,-2.04993,10688.00000,-7.02373
1.00000,7.00000,-1.40504,3944.00000,-7.11506
0.00000,8.00000,-1.91754,10824.00000,-7.06222
1.00000,8.00000,-1.31690,5464.00000,-7.16068
0.00000,9.00000,-1.37946,10824.00000,-6.96196
1.00000,9.00000,-0.49186,4712.00000,-7.14272
0.00000,10.00000,-1.23615,10968.00000,-7.05363
1.00000,10.00000,-1.18809,5720.00000,-7.03911
0.00000,11.00000,-1.52472,10968.00000,-6.81978
1.00000,11.00000,-1.39332,4712.00000,-7.10776
0.00000,12.00000,-0.42015,10968.00000,-6.88357
1.00000,12.00000,-0.71290,5896.00000,-6.99705
0.00000,13.00000,-1.75138,10968.00000,-6.77641
1.00000,13.00000,-0.67886,4712.00000,-7.12331
0.00000,14.00000,-1.53993,10968.00000,-7.02053
1.00000,14.00000,-0.73457,6096.00000,-7.13641
0.00000,15.00000,-1.17655,10968.00000,-7.00964
1.00000,15.00000,-1.23634,4712.00000,-7.14786
0.00000,16.00000,-1.81111,10968.00000,-7.06612
1.00000,16.00000,-0.79564,4712.00000,-7.15090
0.00000,17.00000,-1.71206,12576.00000,-7.05972
1.00000,17.00000,-1.49537,4712.00000,-7.06333
0.00000,18.00000,-1.45072,10968.00000,-7.05032
1.00000,18.00000,-0.91169,4712.00000,-7.14847
0.00000,19.00000,-1.26021,10968.00000,-7.05115
1.00000,19.00000,-1.09877,4712.00000,-6.96272
0.00000,20.00000,-1.51893,12832.00000,-6.71578
1.00000,20.00000,-1.34481,4712.00000,-6.99185
0.00000,21.00000,-1.23837,10968.00000,-6.84342
1.00000,21.00000,-0.79953,4712.00000,-6.88054
0.00000,22.00000,-1.81404,10968.00000,-6.68268
1.00000,22.00000,-1.02086,4712.00000,-7.03559
0.00000,23.00000,-1.10044,13120.00000,-7.02320
1.00000,23.00000,-0.99538,4712.00000,-7.05584
0.00000,24.00000,-2.25976,10968.00000,-7.06083
1.00000,24.00000,-1.38268,4712.00000,-7.05501
0.00000,25.00000,-1.97872,10968.00000,-6.95194
1.00000,25.00000,-0.94327,4712.00000,-7.03586
0.00000,26.00000,-1.48206,10968.00000,-6.97514
1.00000,26.00000,-0.74623,7184.00000,-7.11272
0.00000,27.00000,-1.99631,10968.00000,-7.04730
1.00000,27.00000,-1.63387,4712.00000,-7.15455
0.00000,28.00000,-1.29707,10968.00000,-6.53779
1.00000,28.00000,-1.44934,4712.00000,-6.53747
0.00000,29.00000,-1.71691,10968.00000,-6.63983
1.00000,29.00000,-1.41249,4712.00000,-7.01361
0.00000,30.00000,-1.80910,10968.00000,-7.02776
1.00000,30.00000,-0.88523,7544.00000,-7.11830
0.00000,31.00000,-2.12006,10968.00000,-7.02910
1.00000,31.00000,-1.38350,4712.00000,-7.05584
0.00000,32.00000,-1.25273,10968.00000,-7.04539
1.00000,32.00000,-1.01600,4712.00000,-7.14242
0.00000,33.00000,-1.54295,10968.00000,-7.02830
1.00000,33.00000,-1.33467,4712.00000,-6.98436
0.00000,34.00000,-1.56560,10968.00000,-7.04950
1.00000,34.00000,-0.76550,4712.00000,-7.14363
0.00000,35.00000,-1.78754,14208.00000,-7.04539
1.00000,35.00000,-1.51120,4712.00000,-7.05777
0.00000,36.00000,-2.18755,10968.00000,-7.00517
1.00000,36.00000,-1.09376,4712.00000,-6.94474
0.00000,37.00000,-1.73390,10968.00000,-6.95394
1.00000,37.00000,-1.24843,4712.00000,-7.13581
0.00000,38.00000,-2.09763,10968.00000,-6.79243
1.00000,38.00000,-0.75668,4712.00000,-7.01573
0.00000,39.00000,-1.54171,10968.00000,-6.92514
1.00000,39.00000,-1.33326,4712.00000,-7.13911
0.00000,40.00000,-2.39133,10968.00000,-6.97437
1.00000,40.00000,-0.73005,8408.00000,-7.14514
0.00000,41.00000,-1.85531,10968.00000,-7.05390
1.00000,41.00000,-0.90616,4712.00000,-7.15639
0.00000,42.00000,-2.94670,10968.00000,-7.06027
1.00000,42.00000,-1.17499,4712.00000,-6.98591
0.00000,43.00000,-2.31927,10968.00000,-7.05446
1.00000,43.00000,-1.25059,4712.00000,-7.15120
0.00000,44.00000,-1.90161,10968.00000,-7.02883
1.00000,44.00000,-0.69126,4712.00000,-7.10166
0.00000,45.00000,-1.96897,10968.00000,-7.07962
1.00000,45.00000,-0.88754,4712.00000,-7.00045
0.00000,46.00000,-2.49945,15176.00000,-6.84454
1.00000,46.00000,-1.28524,4712.00000,-7.12361
0.00000,47.00000,-1.05792,10968.00000,-6.82175
