episode,iteration,epReward,memory,time
0.00000,0.00000,-2.56429,9984.00000,-6.99523
1.00000,0.00000,-0.87463,3200.00000,-7.14544
2.00000,0.00000,-1.18713,3072.00000,-7.17459
3.00000,0.00000,-1.75491,4552.00000,-7.14877
4.00000,0.00000,-2.16079,7096.00000,-7.01388
5.00000,0.00000,-1.33912,3992.00000,-7.08672
6.00000,0.00000,-0.80275,6784.00000,-6.93441
7.00000,0.00000,-1.14644,5616.00000,-6.96272
8.00000,0.00000,-1.09798,3712.00000,-7.03504
9.00000,0.00000,-0.96696,4176.00000,-6.99888
10.00000,0.00000,-1.80075,3712.00000,-7.00228
11.00000,0.00000,-1.65160,4288.00000,-7.02507
12.00000,0.00000,-1.10449,5248.00000,-6.97565
13.00000,0.00000,-0.86646,3712.00000,-7.00280
14.00000,0.00000,-1.17398,4416.00000,-6.94821
15.00000,0.00000,-1.02971,3880.00000,-7.10834
16.00000,0.00000,-1.25665,6088.00000,-6.93735
17.00000,0.00000,-1.23215,6936.00000,-6.91525
18.00000,0.00000,-1.27408,5984.00000,-6.89433
19.00000,0.00000,-0.62327,4736.00000,-6.93147
20.00000,0.00000,-0.67967,4672.00000,-6.98256
21.00000,0.00000,-1.12305,5680.00000,-6.96903
22.00000,0.00000,-1.69560,4672.00000,-6.98539
23.00000,0.00000,-1.68797,4672.00000,-6.90830
24.00000,0.00000,-1.10727,4672.00000,-6.97539
25.00000,0.00000,-1.13599,5856.00000,-6.97897
26.00000,0.00000,-1.13229,4672.00000,-6.97795
27.00000,0.00000,-1.39928,6080.00000,-6.92079
28.00000,0.00000,-0.93726,5240.00000,-6.93759
29.00000,0.00000,-1.40649,6056.00000,-6.95895
30.00000,0.00000,-1.24924,4672.00000,-6.93269
31.00000,0.00000,-1.10358,6208.00000,-6.88031
32.00000,0.00000,-1.07735,6208.00000,-6.90450
33.00000,0.00000,-0.96217,4672.00000,-6.86398
34.00000,0.00000,-0.79065,6280.00000,-6.88963
35.00000,0.00000,-2.14245,4672.00000,-6.88450
36.00000,0.00000,-1.06423,6248.00000,-6.87499
37.00000,0.00000,-0.84160,4736.00000,-6.57761
38.00000,0.00000,-0.89290,4672.00000,-6.81717
39.00000,0.00000,-1.19148,4672.00000,-6.88800
40.00000,0.00000,-1.63615,6536.00000,-6.98282
41.00000,0.00000,-1.10398,4672.00000,-6.52162
42.00000,0.00000,-0.81519,4672.00000,-6.89928
43.00000,0.00000,-1.22546,4672.00000,-6.88566
44.00000,0.00000,-0.97847,4672.00000,-6.86718
45.00000,0.00000,-1.21175,4672.00000,-6.88870
46.00000,0.00000,-0.80078,6824.00000,-6.85083
47.00000,0.00000,-1.40693,4672.00000,-6.88380
48.00000,0.00000,-0.97909,6432.00000,-6.85218
49.00000,0.00000,-1.08010,4672.00000,-6.89480
50.00000,0.00000,-0.79890,4672.00000,-6.80011
51.00000,0.00000,-1.36216,6432.00000,-6.84589
52.00000,0.00000,-1.17458,4672.00000,-6.83474
53.00000,0.00000,-1.44480,7144.00000,-6.78019
54.00000,0.00000,-0.99601,6432.00000,-6.85331
55.00000,0.00000,-1.94937,4672.00000,-6.86193
56.00000,0.00000,-0.45966,4672.00000,-6.86307
57.00000,0.00000,-1.54382,4672.00000,-6.87638
58.00000,0.00000,-1.28860,4672.00000,-6.88426
59.00000,0.00000,-1.06111,6432.00000,-6.86215
60.00000,0.00000,-1.08310,4672.00000,-6.90497
61.00000,0.00000,-1.03979,7504.00000,-6.82372
62.00000,0.00000,-0.91520,4672.00000,-6.89621
63.00000,0.00000,-1.08132,4672.00000,-6.89551
64.00000,0.00000,-0.81113,4672.00000,-6.85060
65.00000,0.00000,-1.28928,6574.00000,-6.41767
66.00000,0.00000,-1.57058,6432.00000,-6.17759
67.00000,0.00000,-1.33441,4672.00000,-6.19473
68.00000,0.00000,-1.09280,4672.00000,-6.40750
69.00000,0.00000,-1.25700,6432.00000,-6.75511
70.00000,0.00000,-1.27532,9672.00000,-6.77370
71.00000,0.00000,-1.03883,6432.00000,-6.81304
72.00000,0.00000,-1.21746,4672.00000,-6.81957
73.00000,0.00000,-1.07559,4672.00000,-6.78355
74.00000,0.00000,-0.76161,4672.00000,-6.86901
75.00000,0.00000,-1.23347,4672.00000,-6.81477
76.00000,0.00000,-1.66612,4672.00000,-6.82000
77.00000,0.00000,-1.47412,4672.00000,-6.82680
78.00000,0.00000,-0.79755,4672.00000,-6.83209
79.00000,0.00000,-1.14704,4672.00000,-6.85196
80.00000,0.00000,-1.48353,4672.00000,-6.80742
81.00000,0.00000,-1.50021,8368.00000,-6.78145
82.00000,0.00000,-1.32885,6432.00000,-6.80161
83.00000,0.00000,-0.77039,6432.00000,-6.77746
84.00000,0.00000,-1.77402,4672.00000,-6.78334
85.00000,0.00000,-0.82694,4672.00000,-6.80828
86.00000,0.00000,-0.84433,6432.00000,-6.72626
87.00000,0.00000,-0.85978,4672.00000,-6.73625
88.00000,0.00000,-0.50540,4672.00000,-6.83629
89.00000,0.00000,-0.91261,4672.00000,-6.78523
90.00000,0.00000,-0.77012,4672.00000,-6.80569
91.00000,0.00000,-0.90093,4672.00000,-6.74878
92.00000,0.00000,-1.15861,8880.00000,-6.79904
93.00000,0.00000,-1.03638,4672.00000,-6.78566
94.00000,0.00000,-0.92664,4672.00000,-6.77998
95.00000,0.00000,-1.06437,4672.00000,-6.77641
96.00000,0.00000,-0.92617,4672.00000,-6.09483
97.00000,0.00000,-1.11362,4672.00000,-6.74960
98.00000,0.00000,-1.09988,4672.00000,-6.77391
99.00000,0.00000,-0.68687,4672.00000,-6.73525
0.00000,1.00000,-1.06650,10456.00000,-7.00333
1.00000,1.00000,-1.03525,4008.00000,-7.17055
2.00000,1.00000,-1.77562,4032.00000,-7.15608
3.00000,1.00000,-1.96024,4032.00000,-7.18901
4.00000,1.00000,-1.72033,8640.00000,-6.98385
5.00000,1.00000,-1.57179,9520.00000,-7.06138
6.00000,1.00000,-0.63937,6208.00000,-7.04840
7.00000,1.00000,-1.60505,4672.00000,-7.07707
8.00000,1.00000,-1.04171,7744.00000,-6.91501
9.00000,1.00000,-1.13542,6208.00000,-6.42206
10.00000,1.00000,-1.26217,4672.00000,-6.90687
11.00000,1.00000,-0.92775,4672.00000,-6.99341
12.00000,1.00000,-1.32486,6208.00000,-6.83496
13.00000,1.00000,-0.85629,4672.00000,-6.81109
14.00000,1.00000,-1.30006,4672.00000,-6.91405
15.00000,1.00000,-1.03947,6208.00000,-6.87016
16.00000,1.00000,-1.10115,4672.00000,-6.87131
17.00000,1.00000,-1.52706,4672.00000,-6.86672
18.00000,1.00000,-1.05249,4672.00000,-6.99107
19.00000,1.00000,-1.04905,10104.00000,-6.89362
20.00000,1.00000,-1.55289,4672.00000,-6.91525
21.00000,1.00000,-1.57015,4672.00000,-6.93196
22.00000,1.00000,-1.85601,4672.00000,-6.91501
23.00000,1.00000,-1.75843,4672.00000,-6.92903
24.00000,1.00000,-1.90420,4672.00000,-6.96398
25.00000,1.00000,-1.64000,6208.00000,-6.58328
26.00000,1.00000,-1.62154,4672.00000,-6.86580
27.00000,1.00000,-0.88647,4672.00000,-6.89857
28.00000,1.00000,-1.59181,6208.00000,-6.79435
29.00000,1.00000,-1.48612,4672.00000,-6.86970
30.00000,1.00000,-1.22088,4672.00000,-6.85512
31.00000,1.00000,-0.83445,6080.00000,-6.65861
32.00000,1.00000,-1.26266,4736.00000,-6.80914
33.00000,1.00000,-1.06672,4672.00000,-6.66794
34.00000,1.00000,-1.52136,6080.00000,-6.61160
35.00000,1.00000,-0.90606,10904.00000,-6.84633
36.00000,1.00000,-0.94966,4672.00000,-6.87108
37.00000,1.00000,-1.11237,4672.00000,-6.90711
38.00000,1.00000,-1.54872,4672.00000,-6.87962
39.00000,1.00000,-1.40983,4672.00000,-6.72746
40.00000,1.00000,-0.97192,6320.00000,-6.68975
41.00000,1.00000,-1.49572,4672.00000,-6.88403
42.00000,1.00000,-1.01392,6432.00000,-6.82066
43.00000,1.00000,-1.43112,4672.00000,-6.86809
44.00000,1.00000,-1.36266,8192.00000,-6.78081
45.00000,1.00000,-1.39448,4672.00000,-6.81152
46.00000,1.00000,-1.03999,4672.00000,-6.73025
47.00000,1.00000,-0.85085,4672.00000,-6.88636
48.00000,1.00000,-1.04989,4672.00000,-6.85376
49.00000,1.00000,-1.26774,4672.00000,-6.81935
50.00000,1.00000,-1.76053,6432.00000,-6.86489
51.00000,1.00000,-1.33517,6432.00000,-6.78355
52.00000,1.00000,-0.81259,6304.00000,-6.78819
53.00000,1.00000,-0.77765,4736.00000,-6.77662
54.00000,1.00000,-1.13895,13424.00000,-6.44717
55.00000,1.00000,-1.25960,4672.00000,-6.71834
56.00000,1.00000,-1.34097,4672.00000,-6.76498
57.00000,1.00000,-1.14581,4672.00000,-6.83187
58.00000,1.00000,-1.37257,4672.00000,-6.76581
59.00000,1.00000,-0.84147,6432.00000,-6.62140
60.00000,1.00000,-1.22040,4672.00000,-6.80440
61.00000,1.00000,-0.79001,4672.00000,-6.45472
62.00000,1.00000,-1.52102,4672.00000,-6.55658
63.00000,1.00000,-1.04376,4672.00000,-6.82636
64.00000,1.00000,-0.70068,4672.00000,-6.83142
65.00000,1.00000,-1.27912,4672.00000,-6.79031
66.00000,1.00000,-0.52879,4672.00000,-6.71972
67.00000,1.00000,-1.17665,4672.00000,-6.79435
68.00000,1.00000,-0.83497,4672.00000,-5.83107
69.00000,1.00000,-1.07574,6432.00000,-6.04925
70.00000,1.00000,-1.05251,4672.00000,-6.54507
71.00000,1.00000,-1.08188,4672.00000,-6.75839
72.00000,1.00000,-0.91650,4672.00000,-6.77058
73.00000,1.00000,-0.55526,4672.00000,-6.70424
74.00000,1.00000,-1.35721,12592.00000,-6.71952
75.00000,1.00000,-0.88427,9115.00000,-6.40953
76.00000,1.00000,-0.97591,4816.00000,-6.68765
77.00000,1.00000,-1.10610,4672.00000,-6.67302
78.00000,1.00000,-0.71131,4672.00000,-6.16469
79.00000,1.00000,-1.20332,4720.00000,-6.51275
80.00000,1.00000,-0.61393,4672.00000,-6.65805
81.00000,1.00000,-0.77166,4672.00000,-6.68707
82.00000,1.00000,-0.72335,4672.00000,-6.58881
83.00000,1.00000,-1.41655,8288.00000,-6.48628
84.00000,1.00000,-1.62259,4672.00000,-6.65601
85.00000,1.00000,-0.93633,4672.00000,-6.64403
86.00000,1.00000,-0.83072,4672.00000,-6.68516
87.00000,1.00000,-1.23393,4672.00000,-6.69861
88.00000,1.00000,-1.19157,4672.00000,-6.64697
89.00000,1.00000,-1.19197,4672.00000,-6.68325
90.00000,1.00000,-0.66973,4672.00000,-6.47276
91.00000,1.00000,-0.69355,4672.00000,-6.62642
92.00000,1.00000,-0.96293,4672.00000,-6.68497
93.00000,1.00000,-0.78794,4672.00000,-6.65342
94.00000,1.00000,-0.87967,4672.00000,-6.64642
95.00000,1.00000,-0.79293,4672.00000,-6.26304
96.00000,1.00000,-1.07699,4720.00000,-6.53516
97.00000,1.00000,-0.77995,4720.00000,-6.68383
98.00000,1.00000,-0.67046,13680.00000,-6.68345
99.00000,1.00000,-0.98869,6472.00000,-6.50459
