episode,iteration,epReward,memory,time
0.00000,0.00000,-0.84285,14204.00000,-6.71146
1.00000,0.00000,-1.11498,3452.00000,-6.64660
0.00000,1.00000,-0.96618,3060.00000,-6.81260
1.00000,1.00000,-0.90976,3524.00000,-6.69206
0.00000,2.00000,-1.00125,3060.00000,-6.73887
1.00000,2.00000,-0.76167,3604.00000,-6.65527
0.00000,3.00000,-1.24866,3060.00000,-6.86284
1.00000,3.00000,-1.71311,4076.00000,-6.79733
0.00000,4.00000,-0.70117,3700.00000,-6.86878
1.00000,4.00000,-1.35157,4428.00000,-6.68383
0.00000,5.00000,-1.29995,3700.00000,-6.84993
1.00000,5.00000,-0.60341,4540.00000,-6.78250
0.00000,6.00000,-0.93883,3700.00000,-6.86033
1.00000,6.00000,-0.95644,3964.00000,-6.72368
0.00000,7.00000,-0.88579,4404.00000,-6.91717
1.00000,7.00000,-0.98179,4468.00000,-6.64403
0.00000,8.00000,-1.05772,4540.00000,-6.90023
1.00000,8.00000,-0.59645,5652.00000,-6.71657
0.00000,9.00000,-1.52508,4564.00000,-6.91093
1.00000,9.00000,-0.57077,4924.00000,-6.78967
0.00000,10.00000,-1.41855,4660.00000,-6.87246
1.00000,10.00000,-1.38062,5932.00000,-6.74939
0.00000,11.00000,-0.76595,4660.00000,-6.89621
1.00000,11.00000,-0.64390,4924.00000,-6.79031
0.00000,12.00000,-1.04708,4660.00000,-6.87638
1.00000,12.00000,-0.69004,6108.00000,-6.79456
0.00000,13.00000,-0.98476,4660.00000,-6.91021
1.00000,13.00000,-0.62108,4924.00000,-6.78798
0.00000,14.00000,-0.91133,4660.00000,-6.87039
1.00000,14.00000,-0.70796,6308.00000,-6.78460
0.00000,15.00000,-1.93130,4660.00000,-6.91021
1.00000,15.00000,-0.66456,4924.00000,-6.70599
0.00000,16.00000,-0.95399,4660.00000,-6.90950
1.00000,16.00000,-1.01836,4924.00000,-6.79010
0.00000,17.00000,-0.82340,6352.00000,-6.91045
1.00000,17.00000,-0.94656,4924.00000,-6.75818
0.00000,18.00000,-0.92960,4660.00000,-6.91597
1.00000,18.00000,-1.18091,4924.00000,-6.79349
0.00000,19.00000,-1.28654,4660.00000,-6.91189
1.00000,19.00000,-0.62088,4924.00000,-6.75184
0.00000,20.00000,-1.34430,6524.00000,-6.90497
1.00000,20.00000,-0.82017,4924.00000,-6.78629
0.00000,21.00000,-1.20945,4660.00000,-6.87108
1.00000,21.00000,-0.81569,4924.00000,-6.79179
0.00000,22.00000,-0.95499,4660.00000,-6.76933
1.00000,22.00000,-0.72375,4924.00000,-6.75082
0.00000,23.00000,-1.05647,6812.00000,-6.78566
1.00000,23.00000,-1.00355,4924.00000,-6.73525
0.00000,24.00000,-1.50319,4660.00000,-6.90902
1.00000,24.00000,-0.59435,4924.00000,-6.75859
0.00000,25.00000,-0.91853,4660.00000,-6.90260
1.00000,25.00000,-0.71115,4924.00000,-6.79137
0.00000,26.00000,-0.99136,4660.00000,-6.91213
1.00000,26.00000,-0.84087,7396.00000,-6.78019
0.00000,27.00000,-1.07317,4746.00000,-6.90687
1.00000,27.00000,-0.82936,4924.00000,-6.79349
0.00000,28.00000,-1.82926,4660.00000,-6.91093
1.00000,28.00000,-0.67757,4924.00000,-6.75921
0.00000,29.00000,-1.01725,4660.00000,-6.91117
1.00000,29.00000,-0.87547,4924.00000,-6.76829
0.00000,30.00000,-1.07503,4660.00000,-6.90974
1.00000,30.00000,-0.69696,7756.00000,-6.72686
0.00000,31.00000,-0.94059,4660.00000,-6.90378
1.00000,31.00000,-0.67669,4924.00000,-6.78587
0.00000,32.00000,-0.89406,4660.00000,-6.90188
1.00000,32.00000,-0.72332,4924.00000,-6.79031
0.00000,33.00000,-0.82553,4660.00000,-6.88217
1.00000,33.00000,-0.79281,4924.00000,-6.79158
0.00000,34.00000,-1.34488,4660.00000,-6.87592
1.00000,34.00000,-0.41913,4924.00000,-6.79349
0.00000,35.00000,-1.09228,7900.00000,-6.91165
