episode,iteration,epReward,memory,time
0.00000,0.00000,-0.84285,3124.00000,-6.67529
1.00000,0.00000,-1.11498,3452.00000,-6.78777
2.00000,0.00000,-0.75160,3068.00000,-6.76746
3.00000,0.00000,-0.95493,3668.00000,-6.76168
4.00000,0.00000,-0.86106,3068.00000,-6.79712
5.00000,0.00000,-1.01752,3908.00000,-6.79925
6.00000,0.00000,-0.88666,3068.00000,-6.79116
7.00000,0.00000,-1.44088,4556.00000,-6.75490
8.00000,0.00000,-0.46174,3708.00000,-6.77245
9.00000,0.00000,-1.52734,5100.00000,-6.77537
10.00000,0.00000,-0.79109,3708.00000,-6.71126
11.00000,0.00000,-0.66303,5436.00000,-6.76975
12.00000,0.00000,-0.70910,3708.00000,-6.76746
13.00000,0.00000,-0.90987,3708.00000,-6.73525
14.00000,0.00000,-0.84641,5820.00000,-6.75695
15.00000,0.00000,-0.71800,4212.00000,-6.76168
16.00000,0.00000,-0.73032,4548.00000,-6.76581
17.00000,0.00000,-0.53065,7092.00000,-6.73005
18.00000,0.00000,-0.94056,4572.00000,-6.75347
19.00000,0.00000,-0.54801,4668.00000,-6.75716
20.00000,0.00000,-0.98564,4668.00000,-6.75306
21.00000,0.00000,-1.25610,7692.00000,-6.75286
22.00000,0.00000,-0.81448,4668.00000,-6.75123
23.00000,0.00000,-0.63900,4668.00000,-6.75593
24.00000,0.00000,-0.86582,4668.00000,-6.71676
25.00000,0.00000,-0.51045,8220.00000,-6.73686
26.00000,0.00000,-0.66957,4668.00000,-6.74270
27.00000,0.00000,-0.61199,4668.00000,-6.73305
28.00000,0.00000,-0.74303,4668.00000,-6.73927
29.00000,0.00000,-0.64833,8820.00000,-6.72945
30.00000,0.00000,-1.36271,4668.00000,-6.72885
31.00000,0.00000,-0.75039,4668.00000,-6.73585
32.00000,0.00000,-0.63683,4668.00000,-6.73605
33.00000,0.00000,-0.93973,4668.00000,-6.73545
34.00000,0.00000,-0.99894,9492.00000,-6.72368
35.00000,0.00000,-0.79563,4668.00000,-6.73204
36.00000,0.00000,-0.91111,4668.00000,-6.73085
37.00000,0.00000,-1.14697,4668.00000,-6.72328
38.00000,0.00000,-0.99165,4668.00000,-6.71146
39.00000,0.00000,-0.53684,4668.00000,-6.72071
40.00000,0.00000,-0.98711,10260.00000,-6.69494
41.00000,0.00000,-0.73071,4668.00000,-6.66963
42.00000,0.00000,-0.80091,4668.00000,-6.68975
43.00000,0.00000,-0.69924,4668.00000,-6.41592
44.00000,0.00000,-0.59684,4668.00000,-6.68345
45.00000,0.00000,-0.60706,4668.00000,-6.71597
46.00000,0.00000,-1.08361,11124.00000,-6.68116
47.00000,0.00000,-0.82397,4668.00000,-6.71814
48.00000,0.00000,-1.00890,4668.00000,-6.71657
49.00000,0.00000,-0.60718,4668.00000,-6.71107
50.00000,0.00000,-0.52757,4668.00000,-6.68440
51.00000,0.00000,-0.72774,4668.00000,-6.70833
52.00000,0.00000,-0.71764,4668.00000,-6.68956
53.00000,0.00000,-0.75624,12084.00000,-6.69706
54.00000,0.00000,-0.69666,4668.00000,-6.70833
55.00000,0.00000,-0.80938,4668.00000,-6.70385
56.00000,0.00000,-1.62478,4668.00000,-6.69648
57.00000,0.00000,-0.60045,4668.00000,-6.69494
58.00000,0.00000,-0.80818,4668.00000,-6.70035
59.00000,0.00000,-0.76605,4790.00000,-6.69206
60.00000,0.00000,-0.76367,4668.00000,-6.69475
61.00000,0.00000,-0.52822,13164.00000,-6.69321
62.00000,0.00000,-0.90730,6094.00000,-6.68516
63.00000,0.00000,-0.61522,4668.00000,-6.69494
64.00000,0.00000,-0.52330,4668.00000,-6.68765
65.00000,0.00000,-0.73094,4668.00000,-6.64367
66.00000,0.00000,-0.60397,4668.00000,-6.66308
67.00000,0.00000,-0.78066,4668.00000,-6.69436
68.00000,0.00000,-1.09491,4668.00000,-6.65231
69.00000,0.00000,-0.37545,4668.00000,-6.68154
70.00000,0.00000,-0.87596,14388.00000,-6.68364
71.00000,0.00000,-0.70628,4668.00000,-6.68440
72.00000,0.00000,-0.94397,4668.00000,-6.68497
73.00000,0.00000,-0.90180,4668.00000,-6.68516
74.00000,0.00000,-0.55186,4668.00000,-6.68116
75.00000,0.00000,-1.17626,4668.00000,-6.61515
76.00000,0.00000,-0.83842,4668.00000,-6.68002
77.00000,0.00000,-0.63323,7170.00000,-6.23018
78.00000,0.00000,-0.77741,3863.00000,-6.38477
79.00000,0.00000,-0.93176,4668.00000,-5.83416
80.00000,0.00000,-1.42896,4668.00000,-5.93589
81.00000,0.00000,-0.85807,15756.00000,-6.55423
82.00000,0.00000,-0.76744,4668.00000,-6.41680
83.00000,0.00000,-0.69100,4668.00000,-6.65434
84.00000,0.00000,-0.53660,4668.00000,-6.58794
85.00000,0.00000,-0.82208,4668.00000,-6.62481
86.00000,0.00000,-0.77288,4668.00000,-6.62606
87.00000,0.00000,-0.82087,4668.00000,-6.49429
88.00000,0.00000,-0.96275,4668.00000,-6.63256
89.00000,0.00000,-0.67922,4668.00000,-6.64458
90.00000,0.00000,-0.98556,4668.00000,-6.59385
91.00000,0.00000,-1.14623,4668.00000,-6.62696
92.00000,0.00000,-1.39572,17292.00000,-6.61213
93.00000,0.00000,-1.19633,4668.00000,-6.59507
94.00000,0.00000,-0.79428,4668.00000,-6.62732
95.00000,0.00000,-0.82483,4668.00000,-6.62841
96.00000,0.00000,-0.60653,4668.00000,-6.62517
97.00000,0.00000,-0.79316,4668.00000,-6.62805
98.00000,0.00000,-1.10297,4668.00000,-6.62750
99.00000,0.00000,-0.65680,4668.00000,-6.53829
0.00000,1.00000,-0.83591,4660.00000,-6.79435
1.00000,1.00000,-0.59700,4924.00000,-6.77162
2.00000,1.00000,-0.97432,4668.00000,-6.73465
3.00000,1.00000,-0.94981,5068.00000,-6.76374
4.00000,1.00000,-0.69924,5019.00000,-6.76457
5.00000,1.00000,-0.60236,10012.00000,-6.73244
6.00000,1.00000,-0.86948,4668.00000,-6.76684
7.00000,1.00000,-1.07141,5404.00000,-6.72071
8.00000,1.00000,-0.75630,4668.00000,-6.77433
9.00000,1.00000,-0.76508,5596.00000,-6.73385
10.00000,1.00000,-0.89572,4668.00000,-6.77037
11.00000,1.00000,-0.89535,5820.00000,-6.76705
12.00000,1.00000,-0.41369,4668.00000,-6.70950
13.00000,1.00000,-0.95768,4668.00000,-6.76560
14.00000,1.00000,-0.95460,6076.00000,-6.73867
15.00000,1.00000,-0.89047,7553.00000,-6.70950
16.00000,1.00000,-0.86609,4668.00000,-6.76850
17.00000,1.00000,-0.73753,6364.00000,-6.76746
18.00000,1.00000,-0.67434,4668.00000,-6.51774
19.00000,1.00000,-0.77664,10100.00000,-6.73485
20.00000,1.00000,-0.61328,4668.00000,-6.76292
21.00000,1.00000,-0.92819,6684.00000,-6.76788
22.00000,1.00000,-0.89516,4668.00000,-6.71499
23.00000,1.00000,-0.35517,4668.00000,-6.76147
24.00000,1.00000,-1.09431,4668.00000,-6.75983
25.00000,1.00000,-0.58375,7036.00000,-6.72110
26.00000,1.00000,-0.67118,4668.00000,-6.75143
27.00000,1.00000,-0.75992,4668.00000,-6.73345
28.00000,1.00000,-0.76629,4668.00000,-6.71440
29.00000,1.00000,-0.87286,7436.00000,-6.54027
30.00000,1.00000,-0.54746,4668.00000,-6.64550
31.00000,1.00000,-0.77716,4668.00000,-6.71814
32.00000,1.00000,-0.94522,4668.00000,-6.66982
33.00000,1.00000,-0.97621,4668.00000,-6.74331
34.00000,1.00000,-0.89535,7884.00000,-6.74028
35.00000,1.00000,-0.81331,10836.00000,-6.68688
36.00000,1.00000,-1.09369,4668.00000,-6.74169
37.00000,1.00000,-0.65799,4668.00000,-6.74331
38.00000,1.00000,-0.90048,4668.00000,-6.70931
39.00000,1.00000,-0.82455,4668.00000,-6.74048
40.00000,1.00000,-0.74016,8396.00000,-6.73867
41.00000,1.00000,-0.53017,4668.00000,-6.68097
42.00000,1.00000,-1.09622,4668.00000,-6.73445
43.00000,1.00000,-1.07914,4668.00000,-6.71048
44.00000,1.00000,-0.83026,4668.00000,-6.65675
45.00000,1.00000,-0.60341,4668.00000,-6.68002
46.00000,1.00000,-0.96097,8972.00000,-6.72507
47.00000,1.00000,-0.78498,4668.00000,-6.59559
48.00000,1.00000,-0.62270,4668.00000,-6.69321
49.00000,1.00000,-1.22452,4668.00000,-6.73085
50.00000,1.00000,-1.09920,4668.00000,-6.72487
51.00000,1.00000,-0.53497,4668.00000,-6.69321
52.00000,1.00000,-0.94671,4668.00000,-6.71952
53.00000,1.00000,-0.67066,9612.00000,-6.70931
54.00000,1.00000,-0.85764,11660.00000,-6.68459
55.00000,1.00000,-1.05457,4668.00000,-6.71283
56.00000,1.00000,-0.94396,4668.00000,-6.70599
57.00000,1.00000,-0.48382,4668.00000,-6.68650
58.00000,1.00000,-0.58696,4668.00000,-6.67114
59.00000,1.00000,-0.92123,4668.00000,-6.71107
60.00000,1.00000,-0.50676,4668.00000,-6.63292
61.00000,1.00000,-0.67322,10332.00000,-6.65842
62.00000,1.00000,-0.85187,4668.00000,-6.68059
63.00000,1.00000,-0.81225,4668.00000,-6.70152
64.00000,1.00000,-0.78416,4668.00000,-6.63746
65.00000,1.00000,-0.43655,4668.00000,-6.69900
66.00000,1.00000,-0.98154,4668.00000,-6.69861
67.00000,1.00000,-0.82443,4668.00000,-6.65991
68.00000,1.00000,-0.56766,4668.00000,-6.69090
69.00000,1.00000,-0.74268,4668.00000,-6.70074
70.00000,1.00000,-0.56783,11148.00000,-6.66982
71.00000,1.00000,-0.73465,4668.00000,-6.69359
72.00000,1.00000,-0.85430,4668.00000,-6.69302
73.00000,1.00000,-0.68983,4668.00000,-6.64532
74.00000,1.00000,-0.79788,12588.00000,-6.68975
75.00000,1.00000,-0.55229,4668.00000,-6.69109
76.00000,1.00000,-1.09564,4668.00000,-6.69148
77.00000,1.00000,-0.99525,4668.00000,-6.66271
78.00000,1.00000,-0.96248,4668.00000,-6.68765
79.00000,1.00000,-1.41866,4668.00000,-6.68554
80.00000,1.00000,-0.99921,4668.00000,-6.68631
81.00000,1.00000,-0.69179,12060.00000,-6.66028
82.00000,1.00000,-1.12112,4668.00000,-6.68478
83.00000,1.00000,-0.86428,4668.00000,-6.68116
84.00000,1.00000,-1.00752,4668.00000,-6.68478
85.00000,1.00000,-0.98317,4668.00000,-6.68726
86.00000,1.00000,-0.85653,4668.00000,-6.67208
87.00000,1.00000,-0.97709,4668.00000,-6.68421
88.00000,1.00000,-1.20044,4668.00000,-6.68573
89.00000,1.00000,-0.97802,4668.00000,-6.64440
90.00000,1.00000,-0.93804,4668.00000,-6.68154
91.00000,1.00000,-0.53020,4668.00000,-6.68192
92.00000,1.00000,-0.85926,13084.00000,-6.66982
93.00000,1.00000,-0.72792,4668.00000,-6.67378
94.00000,1.00000,-1.12105,4668.00000,-6.65102
95.00000,1.00000,-0.51266,4668.00000,-6.67434
96.00000,1.00000,-0.59278,4668.00000,-6.67340
97.00000,1.00000,-0.90209,4668.00000,-6.56585
98.00000,1.00000,-0.68023,13628.00000,-6.63874
99.00000,1.00000,-0.66035,4668.00000,-6.63583
