episode,iteration,epReward,memory,time
0.00000,0.00000,-3.11808,13479.00000,-6.31848
1.00000,0.00000,-0.98903,3188.00000,-7.05528
0.00000,1.00000,-1.60415,5681.00000,-7.06194
1.00000,1.00000,-1.24892,3939.00000,-7.07228
0.00000,2.00000,-1.28078,4476.00000,-7.07004
1.00000,2.00000,-1.43574,4820.00000,-7.06920
0.00000,3.00000,-2.33784,4951.00000,-6.78925
1.00000,3.00000,-1.92405,4908.00000,-7.23028
0.00000,4.00000,-1.25882,4540.00000,-7.23160
1.00000,4.00000,-1.87379,5004.00000,-7.24021
0.00000,5.00000,-1.34228,4540.00000,-7.22930
1.00000,5.00000,-2.04861,5116.00000,-7.17428
0.00000,6.00000,-1.17004,4540.00000,-7.22733
1.00000,6.00000,-2.31557,4540.00000,-7.23028
0.00000,7.00000,-1.33422,5244.00000,-7.23556
1.00000,7.00000,-1.23771,4540.00000,-7.22897
0.00000,8.00000,-2.69711,4540.00000,-7.18712
1.00000,8.00000,-2.55875,5388.00000,-7.24054
0.00000,9.00000,-1.71855,4564.00000,-7.23556
1.00000,9.00000,-1.19717,4660.00000,-7.20077
0.00000,10.00000,-1.74839,4660.00000,-7.21137
1.00000,10.00000,-1.47483,5668.00000,-7.22405
0.00000,11.00000,-1.63353,4660.00000,-7.22569
1.00000,11.00000,-1.36994,4660.00000,-7.22733
0.00000,12.00000,-1.54359,4660.00000,-7.22438
1.00000,12.00000,-1.65936,5844.00000,-7.22274
0.00000,13.00000,-0.96950,4660.00000,-7.22897
1.00000,13.00000,-2.82693,4660.00000,-7.22144
0.00000,14.00000,-1.48196,4660.00000,-7.14574
1.00000,14.00000,-2.09172,6044.00000,-7.21331
0.00000,15.00000,-1.65674,4660.00000,-7.19376
1.00000,15.00000,-1.72308,4660.00000,-7.22438
0.00000,16.00000,-2.28380,4660.00000,-7.16900
1.00000,16.00000,-2.51904,4660.00000,-7.22765
0.00000,17.00000,-1.29948,6268.00000,-7.18838
1.00000,17.00000,-1.42111,4660.00000,-7.23226
0.00000,18.00000,-2.81890,4660.00000,-7.23259
