episode,iteration,epReward,memory,time
0.00000,0.00000,-2.32873,6544.00000,-6.20036
1.00000,0.00000,-2.07801,4556.00000,-6.94722
2.00000,0.00000,-2.14809,4660.00000,-7.03153
3.00000,0.00000,-1.40671,4860.00000,-6.98591
4.00000,0.00000,-1.50645,4660.00000,-7.03531
5.00000,0.00000,-1.83317,4940.00000,-7.04156
6.00000,0.00000,-2.79566,4660.00000,-7.03504
7.00000,0.00000,-2.02946,5028.00000,-7.03993
8.00000,0.00000,-1.44448,4951.00000,-6.40001
9.00000,0.00000,-1.25189,5124.00000,-6.35197
10.00000,0.00000,-2.33890,4660.00000,-6.65582
11.00000,0.00000,-2.17366,5236.00000,-7.16191
12.00000,0.00000,-1.74019,4660.00000,-7.17615
13.00000,0.00000,-1.88736,4660.00000,-7.20429
14.00000,0.00000,-2.04909,5364.00000,-7.16006
15.00000,0.00000,-1.79220,4660.00000,-7.15914
16.00000,0.00000,-2.09010,4660.00000,-7.21169
17.00000,0.00000,-1.45720,5508.00000,-7.21234
18.00000,0.00000,-1.86559,4660.00000,-7.21493
19.00000,0.00000,-1.26222,4660.00000,-7.21590
20.00000,0.00000,-1.79564,4660.00000,-7.21266
21.00000,0.00000,-1.29402,5668.00000,-7.21883
22.00000,0.00000,-1.44399,4660.00000,-7.22111
23.00000,0.00000,-1.17353,4660.00000,-7.22078
24.00000,0.00000,-2.03502,4660.00000,-7.22930
25.00000,0.00000,-1.84842,5844.00000,-7.22798
26.00000,0.00000,-0.96415,4660.00000,-7.15853
27.00000,0.00000,-1.75115,4660.00000,-6.63184
28.00000,0.00000,-0.70687,4660.00000,-6.27601
29.00000,0.00000,-1.75368,6044.00000,-6.42206
30.00000,0.00000,-2.26213,4660.00000,-7.07060
31.00000,0.00000,-1.43195,4660.00000,-7.05611
32.00000,0.00000,-1.30934,4660.00000,-7.06361
33.00000,0.00000,-2.53375,4660.00000,-7.11301
34.00000,0.00000,-1.67080,6268.00000,-7.19822
35.00000,0.00000,-1.86204,4660.00000,-7.16098
36.00000,0.00000,-1.34331,4660.00000,-7.21461
37.00000,0.00000,-2.17996,4660.00000,-7.20525
38.00000,0.00000,-1.96356,4660.00000,-7.16375
39.00000,0.00000,-1.81021,4660.00000,-7.21105
40.00000,0.00000,-1.38608,6524.00000,-7.20815
41.00000,0.00000,-1.07905,4660.00000,-7.21428
42.00000,0.00000,-1.73856,4660.00000,-7.21720
43.00000,0.00000,-1.32917,4660.00000,-7.17272
44.00000,0.00000,-1.69349,4660.00000,-7.22078
45.00000,0.00000,-2.02189,4660.00000,-6.67926
46.00000,0.00000,-1.40015,6812.00000,-6.30065
47.00000,0.00000,-2.10580,4660.00000,-6.32392
48.00000,0.00000,-1.41388,4660.00000,-6.86011
49.00000,0.00000,-1.85533,4660.00000,-7.11683
50.00000,0.00000,-1.35982,4660.00000,-7.10601
51.00000,0.00000,-1.08631,4660.00000,-7.08416
52.00000,0.00000,-2.12444,4660.00000,-7.13133
53.00000,0.00000,-1.38556,7132.00000,-7.15394
54.00000,0.00000,-0.66623,4660.00000,-7.09964
55.00000,0.00000,-1.74551,4660.00000,-7.17584
56.00000,0.00000,-2.17270,4660.00000,-7.21688
57.00000,0.00000,-1.06614,4660.00000,-7.21169
58.00000,0.00000,-1.41976,4660.00000,-7.18775
59.00000,0.00000,-1.39170,4660.00000,-7.18965
60.00000,0.00000,-0.97211,4660.00000,-7.13103
61.00000,0.00000,-1.85538,7492.00000,-7.18178
62.00000,0.00000,-1.80390,4660.00000,-7.17272
63.00000,0.00000,-1.16115,4660.00000,-6.40116
64.00000,0.00000,-1.44096,4660.00000,-6.33019
65.00000,0.00000,-1.22954,4660.00000,-6.73847
66.00000,0.00000,-2.13012,4660.00000,-7.18084
67.00000,0.00000,-2.08331,4660.00000,-7.16252
68.00000,0.00000,-1.86962,4660.00000,-7.18996
69.00000,0.00000,-1.00673,4660.00000,-7.16468
70.00000,0.00000,-1.38732,7900.00000,-7.10892
71.00000,0.00000,-1.48838,4660.00000,-7.18649
72.00000,0.00000,-1.20808,4660.00000,-7.16560
73.00000,0.00000,-2.51954,4660.00000,-7.19028
74.00000,0.00000,-1.87486,4660.00000,-7.18996
75.00000,0.00000,-2.20174,4660.00000,-7.19758
76.00000,0.00000,-1.78842,4660.00000,-7.19567
77.00000,0.00000,-0.94541,4660.00000,-7.18334
78.00000,0.00000,-2.15600,4660.00000,-7.19503
79.00000,0.00000,-2.13233,4660.00000,-7.19599
80.00000,0.00000,-1.45011,4660.00000,-7.18460
81.00000,0.00000,-1.02571,8356.00000,-6.80569
82.00000,0.00000,-1.74964,4660.00000,-6.33153
83.00000,0.00000,-2.03395,4660.00000,-6.38322
84.00000,0.00000,-2.07204,4660.00000,-7.10863
85.00000,0.00000,-2.39080,4660.00000,-7.15303
86.00000,0.00000,-2.01937,4660.00000,-7.20590
87.00000,0.00000,-1.41782,4660.00000,-7.16900
88.00000,0.00000,-2.00164,4660.00000,-7.11477
89.00000,0.00000,-1.58550,4660.00000,-7.20976
90.00000,0.00000,-1.38347,4660.00000,-7.06472
91.00000,0.00000,-1.54750,4660.00000,-7.21785
92.00000,0.00000,-2.31283,8868.00000,-7.17334
93.00000,0.00000,-2.39559,4660.00000,-7.21558
94.00000,0.00000,-2.49129,4660.00000,-7.22078
95.00000,0.00000,-1.31052,4660.00000,-7.16406
96.00000,0.00000,-1.80917,4660.00000,-7.06668
97.00000,0.00000,-1.58501,4660.00000,-7.20911
98.00000,0.00000,-1.99333,4660.00000,-7.21850
99.00000,0.00000,-2.19381,4660.00000,-7.19822
0.00000,1.00000,-1.36092,4660.00000,-6.34447
1.00000,1.00000,-1.51263,4660.00000,-6.37829
2.00000,1.00000,-2.04204,4660.00000,-6.62660
3.00000,1.00000,-1.87680,4660.00000,-7.17272
4.00000,1.00000,-2.35714,4859.00000,-7.17677
5.00000,1.00000,-2.17930,9444.00000,-7.16838
6.00000,1.00000,-2.00995,4660.00000,-7.07397
7.00000,1.00000,-2.40866,4660.00000,-7.08416
8.00000,1.00000,-2.09919,4660.00000,-7.22144
9.00000,1.00000,-1.66252,4660.00000,-7.21655
10.00000,1.00000,-1.33504,4660.00000,-7.17241
11.00000,1.00000,-1.82259,4660.00000,-7.10050
12.00000,1.00000,-1.68112,8316.00000,-6.72368
13.00000,1.00000,-1.65366,4660.00000,-7.04265
14.00000,1.00000,-1.72107,4660.00000,-7.04703
15.00000,1.00000,-1.58400,4660.00000,-7.04347
16.00000,1.00000,-1.97288,4660.00000,-7.02830
17.00000,1.00000,-1.78048,4947.00000,-6.13486
18.00000,1.00000,-1.50773,4756.00000,-6.21432
19.00000,1.00000,-1.20034,10092.00000,-6.79648
20.00000,1.00000,-1.52962,4660.00000,-7.04840
21.00000,1.00000,-0.99907,4660.00000,-7.01627
22.00000,1.00000,-1.12788,4660.00000,-6.93759
23.00000,1.00000,-1.76468,4660.00000,-7.04593
24.00000,1.00000,-1.80234,4660.00000,-7.04621
25.00000,1.00000,-1.96935,4660.00000,-7.04621
26.00000,1.00000,-2.58499,4660.00000,-7.04156
27.00000,1.00000,-1.72062,4660.00000,-6.99679
28.00000,1.00000,-1.17202,4660.00000,-7.04593
29.00000,1.00000,-2.42496,4660.00000,-7.04950
30.00000,1.00000,-1.85575,4660.00000,-7.04047
31.00000,1.00000,-1.56968,4660.00000,-7.00254
32.00000,1.00000,-1.78977,4660.00000,-6.80182
33.00000,1.00000,-1.40125,4660.00000,-6.22102
34.00000,1.00000,-1.95543,4660.00000,-6.23759
35.00000,1.00000,-1.73500,10828.00000,-7.01627
36.00000,1.00000,-1.87210,4660.00000,-7.04758
37.00000,1.00000,-0.92633,4660.00000,-6.96171
38.00000,1.00000,-1.40641,4660.00000,-6.82504
39.00000,1.00000,-1.60962,4660.00000,-7.04813
40.00000,1.00000,-1.20055,4660.00000,-7.04868
41.00000,1.00000,-1.16454,4660.00000,-7.04676
42.00000,1.00000,-1.69869,4660.00000,-7.02937
43.00000,1.00000,-1.46452,4660.00000,-7.03667
44.00000,1.00000,-1.09452,4660.00000,-7.03939
45.00000,1.00000,-0.84947,4660.00000,-7.04047
46.00000,1.00000,-1.18350,4660.00000,-7.03207
47.00000,1.00000,-1.58617,4660.00000,-7.04566
48.00000,1.00000,-1.69721,4708.00000,-6.45335
49.00000,1.00000,-0.76601,4660.00000,-6.23188
50.00000,1.00000,-1.77733,4503.00000,-6.16231
51.00000,1.00000,-1.67124,4132.00000,-6.32845
52.00000,1.00000,-1.98704,4660.00000,-7.04758
53.00000,1.00000,-3.16316,4660.00000,-7.17896
54.00000,1.00000,-1.48998,11652.00000,-7.18021
55.00000,1.00000,-1.06846,4660.00000,-7.18996
56.00000,1.00000,-1.32159,4660.00000,-7.13043
57.00000,1.00000,-1.54726,4660.00000,-7.19281
58.00000,1.00000,-1.34470,4660.00000,-7.19218
59.00000,1.00000,-1.78084,4660.00000,-7.19790
60.00000,1.00000,-1.48874,4660.00000,-7.19376
61.00000,1.00000,-1.45177,4660.00000,-7.13851
62.00000,1.00000,-2.24294,4660.00000,-7.19599
63.00000,1.00000,-0.72910,4660.00000,-7.20397
64.00000,1.00000,-1.44708,4660.00000,-6.68535
65.00000,1.00000,-1.70127,4660.00000,-6.28148
66.00000,1.00000,-1.90140,4660.00000,-6.42810
67.00000,1.00000,-1.55646,4660.00000,-7.13252
68.00000,1.00000,-0.96852,4660.00000,-6.99133
69.00000,1.00000,-1.41513,4660.00000,-7.19186
70.00000,1.00000,-1.27701,4660.00000,-7.13851
71.00000,1.00000,-2.30090,4660.00000,-7.19758
72.00000,1.00000,-1.39799,4660.00000,-7.19917
73.00000,1.00000,-0.92850,4660.00000,-7.13163
74.00000,1.00000,-1.56418,12580.00000,-7.19535
75.00000,1.00000,-2.25318,4660.00000,-7.20013
76.00000,1.00000,-1.37831,4660.00000,-7.20622
77.00000,1.00000,-2.34886,4660.00000,-7.20237
78.00000,1.00000,-1.23308,4660.00000,-7.14574
