episode,iteration,epReward,time,memory
0.00000,0.00000,-3.33286,-2.94975,114061.00000
1.00000,0.00000,-3.66501,-3.48073,114061.00000
0.00000,1.00000,-1.97852,-3.61037,25329.00000
1.00000,1.00000,-3.42755,-3.66612,25329.00000
0.00000,2.00000,-2.58411,-3.63562,21591.00000
1.00000,2.00000,-3.25235,-3.66792,21591.00000
0.00000,3.00000,-2.57619,-3.55009,21887.00000
1.00000,3.00000,-3.20963,-3.40084,21887.00000
0.00000,4.00000,-2.63870,-3.46238,21372.00000
1.00000,4.00000,-2.44606,-3.61220,21372.00000
0.00000,5.00000,-2.38796,-3.63269,20631.00000
1.00000,5.00000,-1.53248,-3.65577,20631.00000
0.00000,6.00000,-1.89605,-3.64779,20078.00000
1.00000,6.00000,-3.22777,-3.67139,20078.00000
0.00000,7.00000,-2.83110,-3.63164,21363.00000
1.00000,7.00000,-3.85079,-3.65317,21363.00000
0.00000,8.00000,-2.52436,-3.47737,21693.00000
1.00000,8.00000,-1.58249,-3.54578,21693.00000
0.00000,9.00000,-2.61393,-3.61040,20094.00000
1.00000,9.00000,-2.80391,-3.66746,20094.00000
0.00000,10.00000,-1.86659,-3.61789,21125.00000
1.00000,10.00000,-2.26958,-3.65376,21125.00000
0.00000,11.00000,-1.81081,-3.57706,21936.00000
1.00000,11.00000,-2.93439,-3.63105,21936.00000
0.00000,12.00000,-2.71698,-3.47786,22525.00000
1.00000,12.00000,-2.77194,-3.61114,22525.00000
0.00000,13.00000,-2.77059,-3.62190,20042.00000
1.00000,13.00000,-2.43440,-3.59921,20042.00000
0.00000,14.00000,-2.47108,-3.64338,21490.00000
1.00000,14.00000,-2.88377,-3.65651,21490.00000
0.00000,15.00000,-2.44214,-3.64721,20848.00000
1.00000,15.00000,-2.51591,-3.66331,20848.00000
0.00000,16.00000,-3.18864,-3.50903,19906.00000
1.00000,16.00000,-2.38600,-3.62424,19906.00000
0.00000,17.00000,-3.38127,-3.64321,22823.00000
1.00000,17.00000,-2.18913,-3.66658,22823.00000
0.00000,18.00000,-3.13371,-3.63645,20301.00000
1.00000,18.00000,-3.04688,-3.66033,20301.00000
0.00000,19.00000,-2.75706,-3.65423,20726.00000
1.00000,19.00000,-2.12229,-3.66876,20726.00000
0.00000,20.00000,-2.76822,-3.53640,21967.00000
1.00000,20.00000,-2.15739,-3.48230,21967.00000
0.00000,21.00000,-3.10151,-3.63974,20042.00000
1.00000,21.00000,-1.62335,-3.59314,20042.00000
0.00000,22.00000,-1.99086,-3.62463,20106.00000
