episode,iteration,epReward,time,memory
0.00000,0.00000,-1.58449,-3.20015,726640.00000
1.00000,0.00000,-2.73792,-3.26467,726640.00000
2.00000,0.00000,-2.44818,-3.38892,726640.00000
3.00000,0.00000,-2.34569,-3.16567,726640.00000
4.00000,0.00000,-1.96035,-3.13731,726640.00000
5.00000,0.00000,-3.28441,-3.20190,726640.00000
6.00000,0.00000,-2.14657,-3.03983,726640.00000
7.00000,0.00000,-2.28440,-2.95664,726640.00000
8.00000,0.00000,-2.35690,-2.72990,726640.00000
9.00000,0.00000,-2.00254,-2.96510,726640.00000
10.00000,0.00000,-1.99748,-3.34375,726640.00000
11.00000,0.00000,-2.31174,-3.17949,726640.00000
12.00000,0.00000,-2.87745,-3.41219,726640.00000
13.00000,0.00000,-1.74404,-3.62055,726640.00000
14.00000,0.00000,-2.13455,-3.66184,726640.00000
15.00000,0.00000,-2.00375,-3.63824,726640.00000
16.00000,0.00000,-1.76496,-3.65597,726640.00000
17.00000,0.00000,-0.94303,-3.65158,726640.00000
18.00000,0.00000,-1.52437,-3.65800,726640.00000
19.00000,0.00000,-1.43530,-3.65931,726640.00000
20.00000,0.00000,-1.55908,-3.66037,726640.00000
21.00000,0.00000,-2.37555,-3.58317,726640.00000
22.00000,0.00000,-1.91610,-3.65967,726640.00000
23.00000,0.00000,-1.55817,-3.65821,726640.00000
24.00000,0.00000,-1.12595,-3.65775,726640.00000
25.00000,0.00000,-1.85676,-3.65906,726640.00000
26.00000,0.00000,-2.11744,-3.65372,726640.00000
27.00000,0.00000,-2.09813,-3.61110,726640.00000
28.00000,0.00000,-2.04816,-3.64225,726640.00000
29.00000,0.00000,-1.56181,-3.64391,726640.00000
30.00000,0.00000,-1.17352,-3.65740,726640.00000
31.00000,0.00000,-1.99281,-3.66107,726640.00000
32.00000,0.00000,-1.07684,-3.62597,726640.00000
33.00000,0.00000,-1.96566,-3.57732,726640.00000
34.00000,0.00000,-1.61873,-3.64631,726640.00000
35.00000,0.00000,-1.75713,-3.65232,726640.00000
36.00000,0.00000,-1.57856,-3.66220,726640.00000
37.00000,0.00000,-1.56857,-3.65143,726640.00000
38.00000,0.00000,-2.08314,-3.42427,726640.00000
39.00000,0.00000,-1.76441,-3.62200,726640.00000
40.00000,0.00000,-1.97313,-3.50507,726640.00000
41.00000,0.00000,-1.54341,-3.52956,726640.00000
42.00000,0.00000,-1.22692,-3.54252,726640.00000
43.00000,0.00000,-1.89866,-3.55279,726640.00000
44.00000,0.00000,-1.59520,-3.51146,726640.00000
45.00000,0.00000,-1.63759,-3.52128,726640.00000
46.00000,0.00000,-1.37566,-3.52314,726640.00000
47.00000,0.00000,-1.70967,-3.55771,726640.00000
48.00000,0.00000,-2.44336,-3.49660,726640.00000
49.00000,0.00000,-1.50453,-3.49933,726640.00000
50.00000,0.00000,-1.89902,-3.43862,726640.00000
51.00000,0.00000,-1.38205,-3.42918,726640.00000
52.00000,0.00000,-1.87234,-3.42886,726640.00000
53.00000,0.00000,-1.89600,-3.41610,726640.00000
54.00000,0.00000,-2.54420,-3.44040,726640.00000
55.00000,0.00000,-1.52383,-3.48557,726640.00000
56.00000,0.00000,-1.84999,-3.57723,726640.00000
57.00000,0.00000,-1.70613,-3.64102,726640.00000
58.00000,0.00000,-1.80831,-3.63220,726640.00000
59.00000,0.00000,-1.82073,-3.59195,726640.00000
60.00000,0.00000,-1.18413,-3.64806,726640.00000
61.00000,0.00000,-1.65491,-3.65940,726640.00000
62.00000,0.00000,-1.25358,-3.64492,726640.00000
