episode,iteration,epReward,memory,time
0.00000,0.00000,-0.85188,3248.00000,-7.64634
1.00000,0.00000,-1.62291,2560.00000,-7.79742
0.00000,1.00000,-0.89743,2368.00000,-7.81380
1.00000,1.00000,-1.00734,2632.00000,-7.81912
0.00000,2.00000,-1.05251,3122.00000,-7.79221
1.00000,2.00000,-0.89383,2712.00000,-7.82328
0.00000,3.00000,-1.33675,2368.00000,-7.68916
1.00000,3.00000,-0.71043,5990.00000,-7.09215
0.00000,4.00000,-0.75316,3008.00000,-7.60815
1.00000,4.00000,-1.17293,3536.00000,-7.65586
0.00000,5.00000,-1.21959,3008.00000,-7.65486
1.00000,5.00000,-0.99787,3648.00000,-7.65687
0.00000,6.00000,-0.94160,3008.00000,-7.65738
1.00000,6.00000,-1.25849,3072.00000,-7.41961
0.00000,7.00000,-1.03345,3712.00000,-7.65234
1.00000,7.00000,-1.05991,3744.00000,-7.66243
0.00000,8.00000,-0.95064,3848.00000,-7.65839
1.00000,8.00000,-1.03694,4760.00000,-7.66142
0.00000,9.00000,-1.63627,3872.00000,-7.65134
1.00000,9.00000,-0.96044,4032.00000,-7.64136
0.00000,10.00000,-1.47674,3968.00000,-7.64534
1.00000,10.00000,-1.09098,5040.00000,-7.55941
0.00000,11.00000,-0.79685,3968.00000,-7.63542
1.00000,11.00000,-1.09174,4032.00000,-7.64784
0.00000,12.00000,-0.90571,3968.00000,-7.64884
1.00000,12.00000,-0.96010,5216.00000,-7.65586
0.00000,13.00000,-0.91212,3968.00000,-7.64684
1.00000,13.00000,-0.93514,4032.00000,-7.65184
0.00000,14.00000,-0.92432,3968.00000,-7.64984
1.00000,14.00000,-0.73874,5416.00000,-7.50337
0.00000,15.00000,-2.31120,3968.00000,-7.38060
1.00000,15.00000,-0.83008,4032.00000,-7.63690
0.00000,16.00000,-0.99863,3968.00000,-7.58114
1.00000,16.00000,-1.11157,4032.00000,-7.63641
0.00000,17.00000,-0.84408,5576.00000,-7.64534
1.00000,17.00000,-1.22242,4032.00000,-7.65084
0.00000,18.00000,-0.85817,3968.00000,-7.65134
1.00000,18.00000,-0.83063,4032.00000,-7.62267
0.00000,19.00000,-1.46245,3968.00000,-7.64484
1.00000,19.00000,-0.67699,4032.00000,-7.64984
0.00000,20.00000,-1.18293,5832.00000,-7.64434
1.00000,20.00000,-0.63111,4032.00000,-7.65839
0.00000,21.00000,-1.00297,3968.00000,-7.62657
1.00000,21.00000,-1.15709,4032.00000,-7.59859
0.00000,22.00000,-0.98122,3968.00000,-7.64534
1.00000,22.00000,-0.93472,4032.00000,-7.61878
0.00000,23.00000,-1.18268,6120.00000,-7.47944
1.00000,23.00000,-1.16832,4032.00000,-7.62169
0.00000,24.00000,-1.68197,3968.00000,-7.61878
1.00000,24.00000,-0.98756,4032.00000,-7.64784
0.00000,25.00000,-1.00448,3968.00000,-7.65385
1.00000,25.00000,-0.90499,4032.00000,-7.65385
0.00000,26.00000,-1.01387,3968.00000,-7.64434
1.00000,26.00000,-0.98068,6504.00000,-7.62462
0.00000,27.00000,-1.27380,3968.00000,-7.64534
1.00000,27.00000,-1.30883,4032.00000,-7.64734
0.00000,28.00000,-1.69223,3968.00000,-7.64186
1.00000,28.00000,-0.65746,4032.00000,-7.65486
0.00000,29.00000,-0.92393,3968.00000,-7.65285
1.00000,29.00000,-1.01554,4032.00000,-7.65134
0.00000,30.00000,-1.08661,3968.00000,-7.64285
1.00000,30.00000,-0.97933,6864.00000,-7.63246
0.00000,31.00000,-1.06150,3968.00000,-7.64385
1.00000,31.00000,-0.99570,4032.00000,-7.64884
0.00000,32.00000,-0.91478,3968.00000,-7.64434
1.00000,32.00000,-1.16102,4032.00000,-7.65486
0.00000,33.00000,-0.71199,3968.00000,-7.64884
1.00000,33.00000,-0.77610,4032.00000,-7.65637
0.00000,34.00000,-1.54539,3968.00000,-7.65637
1.00000,34.00000,-0.70612,4032.00000,-7.65687
0.00000,35.00000,-0.92155,7208.00000,-7.62902
1.00000,35.00000,-0.90465,4032.00000,-7.65084
0.00000,36.00000,-1.05242,3968.00000,-7.64484
1.00000,36.00000,-1.11420,4032.00000,-7.65435
0.00000,37.00000,-0.89234,3968.00000,-7.64934
1.00000,37.00000,-0.87907,4032.00000,-7.58677
0.00000,38.00000,-1.19432,3968.00000,-7.64335
1.00000,38.00000,-1.06056,4032.00000,-7.65234
0.00000,39.00000,-1.10944,3968.00000,-7.62364
1.00000,39.00000,-0.65944,4032.00000,-7.65285
0.00000,40.00000,-1.02533,3968.00000,-7.51994
1.00000,40.00000,-1.07660,7728.00000,-7.64186
0.00000,41.00000,-0.89059,3968.00000,-7.65435
1.00000,41.00000,-0.88823,4032.00000,-7.65234
0.00000,42.00000,-0.88382,3968.00000,-7.65134
1.00000,42.00000,-1.17588,4032.00000,-7.65134
0.00000,43.00000,-1.28498,3968.00000,-7.61345
1.00000,43.00000,-1.44911,4032.00000,-7.64684
0.00000,44.00000,-1.34707,3968.00000,-7.64834
1.00000,44.00000,-0.96569,4032.00000,-7.63839
0.00000,45.00000,-0.74908,3968.00000,-7.64984
1.00000,45.00000,-1.66019,4032.00000,-7.65687
0.00000,46.00000,-1.19428,8176.00000,-7.64984
1.00000,46.00000,-1.68208,4032.00000,-7.65637
0.00000,47.00000,-1.21085,3968.00000,-7.63641
1.00000,47.00000,-1.18098,4032.00000,-7.64984
0.00000,48.00000,-1.03281,3968.00000,-7.64984
1.00000,48.00000,-1.21080,4032.00000,-7.65285
0.00000,49.00000,-1.27459,3968.00000,-7.64934
1.00000,49.00000,-1.15187,4032.00000,-7.65889
