episode,iteration,epReward,memory,time
0.00000,0.00000,-1.99099,2904.00000,-6.21468
1.00000,0.00000,-2.72926,3032.00000,-6.52292
0.00000,1.00000,-1.66890,2904.00000,-6.59211
1.00000,1.00000,-1.76990,3104.00000,-6.38760
0.00000,2.00000,-2.68672,2904.00000,-6.65268
1.00000,2.00000,-2.02359,3184.00000,-6.52829
0.00000,3.00000,-2.13511,2904.00000,-6.46385
1.00000,3.00000,-2.41634,3464.00000,-6.38506
0.00000,4.00000,-2.94727,3544.00000,-6.50826
1.00000,4.00000,-1.80522,4008.00000,-6.34190
0.00000,5.00000,-2.27182,3544.00000,-6.56518
1.00000,5.00000,-2.65897,4120.00000,-6.44702
0.00000,6.00000,-3.74667,3544.00000,-6.58294
1.00000,6.00000,-1.65248,3544.00000,-6.44897
0.00000,7.00000,-0.71088,4248.00000,-6.53500
1.00000,7.00000,-2.92801,4048.00000,-6.50443
0.00000,8.00000,-2.31685,4384.00000,-6.57333
1.00000,8.00000,-2.09235,5232.00000,-6.38350
0.00000,9.00000,-1.90134,4384.00000,-6.59280
1.00000,9.00000,-2.02550,4480.00000,-6.50714
0.00000,10.00000,-2.70131,4504.00000,-6.64038
1.00000,10.00000,-2.43214,5512.00000,-6.51307
0.00000,11.00000,-1.32983,4504.00000,-6.63619
1.00000,11.00000,-1.55203,4504.00000,-6.50666
0.00000,12.00000,-1.93683,4504.00000,-6.63492
1.00000,12.00000,-1.43042,5688.00000,-6.50698
0.00000,13.00000,-2.11767,4504.00000,-6.62050
1.00000,13.00000,-1.99224,4504.00000,-6.48020
0.00000,14.00000,-1.40797,4504.00000,-6.57265
1.00000,14.00000,-2.66903,5888.00000,-6.49287
0.00000,15.00000,-3.22021,4504.00000,-6.64020
1.00000,15.00000,-1.37935,4504.00000,-6.50507
0.00000,16.00000,-1.53085,4504.00000,-6.60753
1.00000,16.00000,-2.72597,4504.00000,-6.50874
0.00000,17.00000,-2.18099,6112.00000,-6.63983
1.00000,17.00000,-2.61649,4504.00000,-6.47926
0.00000,18.00000,-2.09741,4504.00000,-6.64257
1.00000,18.00000,-1.66929,4504.00000,-6.51548
0.00000,19.00000,-2.22522,4504.00000,-6.61426
1.00000,19.00000,-3.14991,4504.00000,-6.50858
0.00000,20.00000,-2.96526,6368.00000,-6.57010
1.00000,20.00000,-2.73939,4504.00000,-6.47849
0.00000,21.00000,-2.28629,4504.00000,-6.62337
1.00000,21.00000,-3.51246,4504.00000,-6.50555
0.00000,22.00000,-2.37513,4504.00000,-6.62967
1.00000,22.00000,-2.06091,4504.00000,-6.51548
0.00000,23.00000,-2.74912,6656.00000,-6.60788
1.00000,23.00000,-2.64120,4504.00000,-6.51275
0.00000,24.00000,-1.96038,4504.00000,-6.63910
1.00000,24.00000,-2.45006,4504.00000,-6.50555
0.00000,25.00000,-1.55667,4504.00000,-6.64330
1.00000,25.00000,-1.81575,4504.00000,-6.51066
0.00000,26.00000,-3.17620,4504.00000,-6.54706
1.00000,26.00000,-2.55190,6976.00000,-6.51082
0.00000,27.00000,-2.82729,4504.00000,-6.64294
1.00000,27.00000,-1.67003,4504.00000,-6.51275
0.00000,28.00000,-1.67977,4504.00000,-6.63892
1.00000,28.00000,-2.43266,4504.00000,-6.50443
0.00000,29.00000,-2.01230,4504.00000,-6.63965
1.00000,29.00000,-2.24775,4504.00000,-6.51629
0.00000,30.00000,-2.20617,4504.00000,-6.63673
1.00000,30.00000,-3.48184,7336.00000,-6.50634
0.00000,31.00000,-1.94438,4504.00000,-6.64220
1.00000,31.00000,-1.31752,4504.00000,-6.45184
0.00000,32.00000,-2.16967,4504.00000,-6.63928
1.00000,32.00000,-2.68613,4504.00000,-6.50810
0.00000,33.00000,-2.16775,4504.00000,-6.64001
1.00000,33.00000,-2.14984,4504.00000,-6.51355
0.00000,34.00000,-2.17737,4504.00000,-6.64403
1.00000,34.00000,-2.11760,4504.00000,-6.50348
0.00000,35.00000,-1.32587,7744.00000,-6.62194
1.00000,35.00000,-1.74071,4504.00000,-6.51613
0.00000,36.00000,-1.60949,4504.00000,-6.64129
1.00000,36.00000,-2.73386,4504.00000,-6.50810
0.00000,37.00000,-2.88062,4504.00000,-6.60524
1.00000,37.00000,-1.40697,4504.00000,-6.42810
0.00000,38.00000,-2.19388,4504.00000,-6.63637
1.00000,38.00000,-3.27141,4504.00000,-6.46019
0.00000,39.00000,-1.55888,4504.00000,-6.62678
1.00000,39.00000,-2.12633,4504.00000,-6.51211
0.00000,40.00000,-1.41420,4504.00000,-6.63419
1.00000,40.00000,-2.19427,8200.00000,-6.50555
0.00000,41.00000,-1.97768,4504.00000,-6.63437
1.00000,41.00000,-2.21450,4504.00000,-6.51162
0.00000,42.00000,-2.68341,4504.00000,-6.62050
1.00000,42.00000,-3.48007,4504.00000,-6.50523
0.00000,43.00000,-2.69554,4504.00000,-6.63148
1.00000,43.00000,-1.96860,4504.00000,-6.47585
0.00000,44.00000,-3.17682,4504.00000,-6.61551
1.00000,44.00000,-2.65009,4504.00000,-6.50954
0.00000,45.00000,-2.20831,4504.00000,-6.63075
1.00000,45.00000,-0.97520,4504.00000,-6.51275
0.00000,46.00000,-3.30625,8712.00000,-6.63892
1.00000,46.00000,-3.02656,4504.00000,-6.51500
0.00000,47.00000,-2.18070,4504.00000,-6.61249
1.00000,47.00000,-1.92635,4504.00000,-6.53977
0.00000,48.00000,-1.26662,4504.00000,-6.62015
1.00000,48.00000,-2.97433,4504.00000,-6.51002
0.00000,49.00000,-1.71661,4504.00000,-6.57864
1.00000,49.00000,-2.69830,4504.00000,-6.50778
