episode,iteration,epReward,memory,time
0.00000,0.00000,-1.63387,2904.00000,-6.28864
1.00000,0.00000,-1.72515,3032.00000,-6.31491
2.00000,0.00000,-1.98825,2904.00000,-6.31360
3.00000,0.00000,-2.13024,3104.00000,-6.23613
4.00000,0.00000,-1.69428,2904.00000,-6.19147
5.00000,0.00000,-1.23240,3184.00000,-6.20708
6.00000,0.00000,-1.52514,2904.00000,-6.15375
7.00000,0.00000,-1.41761,3656.00000,-6.13200
8.00000,0.00000,-2.58952,3544.00000,-6.12970
9.00000,0.00000,-2.25013,4008.00000,-6.12555
10.00000,0.00000,-1.78805,3544.00000,-6.03600
11.00000,0.00000,-1.26720,4120.00000,-6.01226
12.00000,0.00000,-1.43726,3544.00000,-6.01792
13.00000,0.00000,-1.23663,3544.00000,-6.01606
14.00000,0.00000,-1.94041,4248.00000,-6.00827
15.00000,0.00000,-1.32637,4216.00000,-5.99939
16.00000,0.00000,-0.90340,4384.00000,-5.99660
17.00000,0.00000,-1.55725,5232.00000,-5.97677
18.00000,0.00000,-1.57637,4384.00000,-5.95199
19.00000,0.00000,-2.74088,4504.00000,-5.99278
20.00000,0.00000,-1.24513,4504.00000,-6.07837
21.00000,0.00000,-1.30945,5512.00000,-5.95907
22.00000,0.00000,-1.01042,4504.00000,-5.96937
23.00000,0.00000,-1.39532,4504.00000,-5.99039
24.00000,0.00000,-1.97418,4504.00000,-6.03550
25.00000,0.00000,-0.86063,5688.00000,-5.99116
26.00000,0.00000,-0.88547,4504.00000,-5.98214
27.00000,0.00000,-1.87577,4504.00000,-5.98868
28.00000,0.00000,-1.16638,4504.00000,-5.99345
29.00000,0.00000,-1.17777,5888.00000,-5.99020
30.00000,0.00000,-1.14054,4504.00000,-5.99469
31.00000,0.00000,-1.16756,4504.00000,-5.99431
32.00000,0.00000,-1.61335,4504.00000,-5.99354
33.00000,0.00000,-1.70803,4504.00000,-6.04643
34.00000,0.00000,-1.23471,6112.00000,-6.05330
35.00000,0.00000,-1.31260,4504.00000,-6.00334
36.00000,0.00000,-1.20842,4504.00000,-6.07008
37.00000,0.00000,-1.67493,4504.00000,-6.02234
38.00000,0.00000,-1.31460,4504.00000,-5.99058
39.00000,0.00000,-1.09232,4504.00000,-6.00093
40.00000,0.00000,-1.25015,6368.00000,-6.01070
41.00000,0.00000,-1.33299,4504.00000,-6.00508
42.00000,0.00000,-1.01605,4504.00000,-5.98811
43.00000,0.00000,-0.93622,4504.00000,-5.99689
44.00000,0.00000,-1.08887,4504.00000,-5.99546
45.00000,0.00000,-0.92749,4504.00000,-5.98044
46.00000,0.00000,-1.14292,6656.00000,-5.99392
47.00000,0.00000,-0.60502,4504.00000,-5.97124
48.00000,0.00000,-1.10607,4504.00000,-5.99804
49.00000,0.00000,-0.93804,4504.00000,-5.99230
50.00000,0.00000,-1.45149,4504.00000,-5.99154
51.00000,0.00000,-1.04193,4504.00000,-5.99622
52.00000,0.00000,-0.97626,4504.00000,-6.07401
53.00000,0.00000,-0.92670,6976.00000,-5.99421
54.00000,0.00000,-0.88465,4504.00000,-6.00208
55.00000,0.00000,-1.02111,4504.00000,-6.01616
56.00000,0.00000,-0.52492,4504.00000,-6.00016
57.00000,0.00000,-0.90348,4504.00000,-5.98678
58.00000,0.00000,-0.68040,4504.00000,-5.97658
59.00000,0.00000,-0.74835,4504.00000,-5.99173
60.00000,0.00000,-0.56379,4504.00000,-5.99316
61.00000,0.00000,-0.89032,7336.00000,-5.99230
62.00000,0.00000,-1.19487,4504.00000,-5.99268
63.00000,0.00000,-0.94752,4504.00000,-5.99565
64.00000,0.00000,-0.91081,4504.00000,-5.99708
65.00000,0.00000,-0.89994,4504.00000,-6.00595
66.00000,0.00000,-0.90084,4504.00000,-5.99412
67.00000,0.00000,-1.01594,4504.00000,-5.99220
68.00000,0.00000,-0.83110,4504.00000,-5.99603
69.00000,0.00000,-0.43485,4504.00000,-5.99440
70.00000,0.00000,-1.34979,7744.00000,-5.99804
71.00000,0.00000,-1.13465,4504.00000,-5.99201
72.00000,0.00000,-0.64433,4504.00000,-5.99776
73.00000,0.00000,-1.17898,4504.00000,-5.98649
74.00000,0.00000,-1.13125,4504.00000,-5.98897
75.00000,0.00000,-0.83699,4504.00000,-5.99852
76.00000,0.00000,-1.50705,4504.00000,-5.96956
77.00000,0.00000,-1.05084,4504.00000,-5.99001
78.00000,0.00000,-1.18582,4504.00000,-5.99268
79.00000,0.00000,-0.96605,4504.00000,-5.99125
80.00000,0.00000,-1.10576,4504.00000,-5.99498
81.00000,0.00000,-0.88633,8200.00000,-5.99201
82.00000,0.00000,-0.85501,4504.00000,-5.99154
83.00000,0.00000,-1.06304,4504.00000,-5.99632
