episode,iteration,epReward,memory,time
0.00000,0.00000,-1.99099,2904.00000,-6.77016
1.00000,0.00000,-2.05258,3032.00000,-6.79179
0.00000,1.00000,-2.66905,2904.00000,-6.67869
1.00000,1.00000,-2.41050,3104.00000,-6.72170
0.00000,2.00000,-2.33992,2904.00000,-6.62391
1.00000,2.00000,-1.45562,3184.00000,-6.73525
0.00000,3.00000,-1.78139,2904.00000,-6.51002
1.00000,3.00000,-1.73772,3528.00000,-6.53911
0.00000,4.00000,-1.72424,3544.00000,-6.73726
1.00000,4.00000,-1.48975,4008.00000,-6.81978
0.00000,5.00000,-1.49692,3544.00000,-6.75082
1.00000,5.00000,-2.34352,4120.00000,-6.80419
0.00000,6.00000,-2.66012,3544.00000,-6.74777
1.00000,6.00000,-3.25925,3544.00000,-6.76581
0.00000,7.00000,-2.62506,4248.00000,-6.78250
1.00000,7.00000,-2.50983,4048.00000,-6.82658
0.00000,8.00000,-2.28539,4384.00000,-6.82350
1.00000,8.00000,-1.74348,5232.00000,-6.70794
0.00000,9.00000,-2.28034,4384.00000,-6.81891
1.00000,9.00000,-1.76948,4480.00000,-6.79349
0.00000,10.00000,-1.59996,4504.00000,-6.76024
1.00000,10.00000,-1.84608,5512.00000,-6.82000
0.00000,11.00000,-1.36529,4504.00000,-6.81543
1.00000,11.00000,-1.95028,4504.00000,-6.82285
0.00000,12.00000,-2.11745,4504.00000,-6.76539
1.00000,12.00000,-2.77859,5688.00000,-6.82153
0.00000,13.00000,-2.17248,4504.00000,-6.81935
1.00000,13.00000,-2.65402,4504.00000,-6.73144
0.00000,14.00000,-1.11126,4504.00000,-6.79562
1.00000,14.00000,-1.47892,5888.00000,-6.79990
0.00000,15.00000,-1.52558,4504.00000,-6.79797
1.00000,15.00000,-2.36955,4504.00000,-6.74594
0.00000,16.00000,-2.42461,4504.00000,-6.73907
1.00000,16.00000,-1.65326,4504.00000,-6.82328
0.00000,17.00000,-1.20866,6112.00000,-6.73967
1.00000,17.00000,-2.17007,4504.00000,-6.82328
0.00000,18.00000,-2.49086,4504.00000,-6.81521
1.00000,18.00000,-2.17053,4504.00000,-6.82285
0.00000,19.00000,-2.06953,4504.00000,-6.76044
1.00000,19.00000,-1.90338,4504.00000,-6.82328
0.00000,20.00000,-2.70452,6368.00000,-6.79349
1.00000,20.00000,-3.10415,4504.00000,-6.76892
0.00000,21.00000,-1.55450,4504.00000,-6.82394
1.00000,21.00000,-2.04260,4504.00000,-6.79733
0.00000,22.00000,-1.58656,4504.00000,-6.81782
1.00000,22.00000,-1.01059,4504.00000,-6.75082
0.00000,23.00000,-1.21991,6656.00000,-6.74919
1.00000,23.00000,-1.17275,4504.00000,-6.82197
0.00000,24.00000,-1.82038,4504.00000,-6.75983
1.00000,24.00000,-2.62360,4504.00000,-6.79222
0.00000,25.00000,-3.35911,4504.00000,-6.59385
1.00000,25.00000,-2.66301,4504.00000,-6.72567
0.00000,26.00000,-0.93176,4504.00000,-6.77998
1.00000,26.00000,-2.18910,6976.00000,-6.82131
0.00000,27.00000,-1.78604,4504.00000,-6.79584
1.00000,27.00000,-2.51768,4504.00000,-6.72368
0.00000,28.00000,-2.66051,4504.00000,-6.81891
1.00000,28.00000,-0.79673,4504.00000,-6.79669
0.00000,29.00000,-2.72381,4504.00000,-6.73867
1.00000,29.00000,-2.99848,4504.00000,-6.81022
0.00000,30.00000,-1.52266,4504.00000,-6.82197
1.00000,30.00000,-1.49936,7336.00000,-6.71913
0.00000,31.00000,-2.38764,4504.00000,-6.76374
1.00000,31.00000,-3.64040,4504.00000,-6.82790
0.00000,32.00000,-1.70897,4504.00000,-6.81978
1.00000,32.00000,-2.41353,4504.00000,-6.82306
0.00000,33.00000,-2.75675,4504.00000,-6.80655
1.00000,33.00000,-1.93052,4504.00000,-6.82658
0.00000,34.00000,-2.10985,4504.00000,-6.82702
1.00000,34.00000,-1.53733,4504.00000,-6.79052
0.00000,35.00000,-3.68497,7744.00000,-6.82044
1.00000,35.00000,-2.59537,4504.00000,-6.82988
0.00000,36.00000,-0.90189,4504.00000,-6.79925
1.00000,36.00000,-0.91828,4504.00000,-6.79349
0.00000,37.00000,-0.84684,4504.00000,-6.81913
1.00000,37.00000,-1.76453,4504.00000,-6.77872
0.00000,38.00000,-2.98579,4504.00000,-6.76746
1.00000,38.00000,-2.57444,4504.00000,-6.76168
0.00000,39.00000,-2.01301,4504.00000,-6.81957
1.00000,39.00000,-2.60223,4504.00000,-6.82680
0.00000,40.00000,-2.45680,4504.00000,-6.79349
1.00000,40.00000,-2.59007,8200.00000,-6.82460
