episode,iteration,epReward,memory,time
0.00000,0.00000,-1.63387,2904.00000,-6.76995
1.00000,0.00000,-1.76077,3032.00000,-6.79456
2.00000,0.00000,-2.22939,2904.00000,-6.83563
3.00000,0.00000,-1.86235,3104.00000,-6.83963
4.00000,0.00000,-2.21047,2904.00000,-6.80225
5.00000,0.00000,-2.10686,3184.00000,-6.83963
6.00000,0.00000,-1.28727,2904.00000,-6.83829
7.00000,0.00000,-2.27834,3464.00000,-6.84253
8.00000,0.00000,-2.22027,3544.00000,-6.74655
9.00000,0.00000,-0.50157,4008.00000,-6.81826
10.00000,0.00000,-1.68979,3544.00000,-6.82306
11.00000,0.00000,-1.71824,4120.00000,-6.82109
12.00000,0.00000,-1.53609,3544.00000,-6.81586
13.00000,0.00000,-1.28062,3544.00000,-6.82109
14.00000,0.00000,-1.49346,4248.00000,-6.82000
15.00000,0.00000,-1.42667,4048.00000,-6.78862
16.00000,0.00000,-1.93696,4384.00000,-6.82000
17.00000,0.00000,-1.58247,5232.00000,-6.82022
18.00000,0.00000,-1.66901,4384.00000,-6.81935
19.00000,0.00000,-0.57530,4480.00000,-6.75062
20.00000,0.00000,-1.03430,4504.00000,-6.56755
21.00000,0.00000,-1.53132,5512.00000,-6.28608
22.00000,0.00000,-1.00516,4504.00000,-6.76829
23.00000,0.00000,-1.79088,4504.00000,-6.77977
24.00000,0.00000,-2.11427,4504.00000,-6.81195
25.00000,0.00000,-1.11513,5688.00000,-6.73345
26.00000,0.00000,-2.56796,4504.00000,-6.80806
27.00000,0.00000,-1.79931,4504.00000,-6.81239
28.00000,0.00000,-1.77888,4504.00000,-6.75470
29.00000,0.00000,-1.06101,5888.00000,-6.76065
30.00000,0.00000,-1.18434,4504.00000,-6.79010
31.00000,0.00000,-1.81715,4504.00000,-6.81217
32.00000,0.00000,-1.87726,4504.00000,-6.77183
33.00000,0.00000,-0.79281,4504.00000,-6.81087
34.00000,0.00000,-0.75290,6112.00000,-6.78439
35.00000,0.00000,-1.14733,4504.00000,-6.76086
36.00000,0.00000,-1.77626,4504.00000,-6.80247
37.00000,0.00000,-1.72043,4504.00000,-6.81695
38.00000,0.00000,-2.08793,4504.00000,-6.80806
39.00000,0.00000,-1.35928,4504.00000,-6.78081
40.00000,0.00000,-1.40834,6368.00000,-6.80720
41.00000,0.00000,-1.22924,4504.00000,-6.81304
42.00000,0.00000,-1.76587,4504.00000,-6.81456
43.00000,0.00000,-0.85659,4504.00000,-6.77328
44.00000,0.00000,-1.61318,4504.00000,-6.71479
45.00000,0.00000,-1.70285,4504.00000,-6.82088
46.00000,0.00000,-1.72413,6656.00000,-6.78208
47.00000,0.00000,-1.89474,4504.00000,-6.80720
48.00000,0.00000,-1.34372,4504.00000,-6.81217
49.00000,0.00000,-0.88819,4504.00000,-6.81130
50.00000,0.00000,-1.74026,4504.00000,-6.78124
51.00000,0.00000,-0.96631,4504.00000,-6.81564
52.00000,0.00000,-1.91804,4504.00000,-6.80742
53.00000,0.00000,-1.60416,6976.00000,-6.78862
54.00000,0.00000,-1.78896,4504.00000,-6.81456
55.00000,0.00000,-1.41652,4504.00000,-6.81847
56.00000,0.00000,-1.27438,4504.00000,-6.82066
57.00000,0.00000,-0.83898,4504.00000,-6.80526
58.00000,0.00000,-2.26011,4504.00000,-6.81738
59.00000,0.00000,-1.55904,4504.00000,-6.79286
60.00000,0.00000,-1.74636,4504.00000,-6.81325
61.00000,0.00000,-1.66140,7336.00000,-6.82022
62.00000,0.00000,-0.56109,4504.00000,-6.81521
63.00000,0.00000,-1.52894,4504.00000,-6.82131
64.00000,0.00000,-1.59261,4504.00000,-6.80936
65.00000,0.00000,-2.23079,4504.00000,-6.81217
66.00000,0.00000,-1.12287,4504.00000,-6.81608
67.00000,0.00000,-1.19309,4504.00000,-6.82044
68.00000,0.00000,-1.77307,4504.00000,-6.81282
69.00000,0.00000,-1.48280,4504.00000,-6.81521
70.00000,0.00000,-1.49671,7744.00000,-6.81608
71.00000,0.00000,-1.46737,4504.00000,-6.78587
72.00000,0.00000,-1.35563,4504.00000,-6.79264
73.00000,0.00000,-1.11001,4504.00000,-6.82044
74.00000,0.00000,-1.12193,4504.00000,-6.81586
75.00000,0.00000,-1.49932,4504.00000,-6.81847
76.00000,0.00000,-1.58895,4504.00000,-6.81543
77.00000,0.00000,-1.08211,4504.00000,-6.75082
78.00000,0.00000,-1.40814,4504.00000,-6.81347
79.00000,0.00000,-1.43491,4504.00000,-6.81499
80.00000,0.00000,-1.96140,4504.00000,-6.82109
81.00000,0.00000,-1.69962,8200.00000,-6.81304
82.00000,0.00000,-1.03446,4504.00000,-6.81456
83.00000,0.00000,-1.65552,4504.00000,-6.81608
84.00000,0.00000,-1.66569,4504.00000,-6.82175
85.00000,0.00000,-1.65286,4504.00000,-6.79222
86.00000,0.00000,-0.98015,4504.00000,-6.80957
87.00000,0.00000,-1.58143,4504.00000,-6.81717
88.00000,0.00000,-1.23747,4504.00000,-6.81651
89.00000,0.00000,-0.66475,4504.00000,-6.81564
90.00000,0.00000,-0.96911,4504.00000,-6.82175
91.00000,0.00000,-2.29011,4504.00000,-6.82460
92.00000,0.00000,-1.15842,8712.00000,-6.82153
93.00000,0.00000,-1.96497,4504.00000,-6.81499
94.00000,0.00000,-1.46132,4504.00000,-6.78756
95.00000,0.00000,-1.05353,4504.00000,-6.81456
96.00000,0.00000,-1.05664,4504.00000,-6.81673
97.00000,0.00000,-1.92026,4504.00000,-6.81891
98.00000,0.00000,-1.13486,4504.00000,-6.82088
99.00000,0.00000,-0.78077,4504.00000,-6.81521
0.00000,1.00000,-1.61807,4504.00000,-6.80914
1.00000,1.00000,-1.74861,4504.00000,-6.81586
2.00000,1.00000,-2.38834,4504.00000,-6.78756
3.00000,1.00000,-1.11711,4504.00000,-6.80936
4.00000,1.00000,-1.31079,4504.00000,-6.80698
5.00000,1.00000,-1.42095,9288.00000,-6.81022
6.00000,1.00000,-1.25094,4504.00000,-6.81412
7.00000,1.00000,-1.42510,4504.00000,-6.81022
8.00000,1.00000,-0.89848,4504.00000,-6.81022
9.00000,1.00000,-1.08275,4504.00000,-6.81782
10.00000,1.00000,-1.20613,4504.00000,-6.81847
11.00000,1.00000,-1.40794,4504.00000,-6.73645
12.00000,1.00000,-0.98500,4504.00000,-6.72190
13.00000,1.00000,-0.81797,4504.00000,-6.79286
14.00000,1.00000,-1.82007,4504.00000,-6.78481
15.00000,1.00000,-1.16178,4504.00000,-6.81695
16.00000,1.00000,-1.62451,4504.00000,-6.81804
17.00000,1.00000,-1.33916,4504.00000,-6.81217
18.00000,1.00000,-2.04557,4504.00000,-6.78145
19.00000,1.00000,-0.86266,9936.00000,-6.80957
20.00000,1.00000,-1.77115,4504.00000,-6.81477
21.00000,1.00000,-1.65338,4504.00000,-6.81869
22.00000,1.00000,-1.63569,4504.00000,-6.78819
23.00000,1.00000,-1.27897,4504.00000,-6.81869
24.00000,1.00000,-1.13149,4504.00000,-6.81869
25.00000,1.00000,-1.58191,4504.00000,-6.78650
26.00000,1.00000,-1.45343,4504.00000,-6.81869
27.00000,1.00000,-1.53222,4504.00000,-6.81456
28.00000,1.00000,-0.65774,4504.00000,-6.80957
29.00000,1.00000,-1.44965,4504.00000,-6.78208
30.00000,1.00000,-1.11475,4504.00000,-6.80936
31.00000,1.00000,-1.24869,4504.00000,-6.81412
32.00000,1.00000,-0.94339,4504.00000,-6.79349
33.00000,1.00000,-1.01068,4504.00000,-6.81521
34.00000,1.00000,-2.48837,4504.00000,-6.81412
35.00000,1.00000,-1.57079,10672.00000,-6.79052
36.00000,1.00000,-1.12199,4504.00000,-6.80742
37.00000,1.00000,-1.49895,4504.00000,-6.81347
38.00000,1.00000,-1.98420,4504.00000,-6.80871
39.00000,1.00000,-1.65329,4504.00000,-6.78355
40.00000,1.00000,-1.39855,4504.00000,-6.81564
41.00000,1.00000,-1.31660,4504.00000,-6.80914
42.00000,1.00000,-2.25776,4504.00000,-6.81913
43.00000,1.00000,-1.16404,4504.00000,-6.81130
44.00000,1.00000,-1.80142,4504.00000,-6.81239
45.00000,1.00000,-0.98763,4504.00000,-6.81869
46.00000,1.00000,-1.45966,4504.00000,-6.81630
47.00000,1.00000,-1.41265,4504.00000,-6.78798
48.00000,1.00000,-2.04377,4504.00000,-6.81434
49.00000,1.00000,-1.24863,4504.00000,-6.81782
50.00000,1.00000,-1.56040,4504.00000,-6.80849
51.00000,1.00000,-0.63230,4504.00000,-6.81586
52.00000,1.00000,-1.41360,4504.00000,-6.64532
53.00000,1.00000,-1.13943,4504.00000,-6.81022
54.00000,1.00000,-0.69815,11496.00000,-6.78124
55.00000,1.00000,-2.09741,4504.00000,-6.81717
56.00000,1.00000,-1.94123,4504.00000,-6.78481
57.00000,1.00000,-0.88864,4504.00000,-6.78460
58.00000,1.00000,-0.97806,4504.00000,-6.81913
59.00000,1.00000,-1.01864,4504.00000,-6.81869
60.00000,1.00000,-1.91113,4504.00000,-6.81891
61.00000,1.00000,-1.02958,4504.00000,-6.78208
62.00000,1.00000,-1.40046,4504.00000,-6.79137
63.00000,1.00000,-1.35350,4504.00000,-6.82044
64.00000,1.00000,-1.73181,4504.00000,-6.78439
65.00000,1.00000,-0.72744,4504.00000,-6.81477
66.00000,1.00000,-1.38924,4504.00000,-6.81717
67.00000,1.00000,-1.91716,4504.00000,-6.81499
68.00000,1.00000,-1.10520,4504.00000,-6.78735
69.00000,1.00000,-1.37095,4504.00000,-6.82000
70.00000,1.00000,-1.17936,4504.00000,-6.81217
71.00000,1.00000,-1.78866,4504.00000,-6.82000
72.00000,1.00000,-1.99382,4504.00000,-6.81022
73.00000,1.00000,-1.71023,4504.00000,-6.81456
74.00000,1.00000,-1.64838,12424.00000,-6.81630
75.00000,1.00000,-1.68775,4504.00000,-6.81109
76.00000,1.00000,-0.93082,4504.00000,-6.81673
77.00000,1.00000,-1.51571,4504.00000,-6.81477
78.00000,1.00000,-1.29768,4504.00000,-6.82131
79.00000,1.00000,-1.47276,4504.00000,-6.81391
